Oxymax CSV File 

CSV Generation Date,6/13/2016 9:08:25 AM 
Experiment Started,6/6/2016 1:26:16 PM 
Data Filename,C:\Users\Clams-hwh\Documents\Users\SFO\Ruas\Vicente\2016-06-06\2016-06-06.CDTA

Group/Cage,0101
O2 Calibration Date,6/6/2016 1:25:04 PM
CO2 Calibration Date,6/6/2016 1:23:24 PM
Subject ID,G26
Subject Mass (G), 29.61 

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=4
Heat Calculation Method,STD


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RH SAMP,RH PURGE,RH AMB,TEMP AMB,BARO PRESS,ROOM LIGHT,
#,,,ml/kg/hr,%,%,,L,ml/kg/hr,%,%,,L,,kcal/hr,LPM,,GRAMS,GRAMS,ml,ml,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,%,%,%,degC,mmHG,,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0101,6/6/2016 1:30:25 PM ,2733,20.95,20.68,0.26,0.0,2489,0.040,0.286,0.246,0.0,0.911,0.4,0.50,STABLE,0.00,0.00,0.000,0.000,10,2,8,2,0,1.0,0.5,16.4,24.8,767.0,ON,
2,0101,6/6/2016 1:50:25 PM ,2520,20.94,20.70,0.24,0.0,2278,0.039,0.264,0.225,0.0,0.904,0.4,0.50,STABLE,0.03,0.03,0.000,0.000,274,84,125,58,6,1.0,0.5,16.4,24.8,767.0,ON,
3,0101,6/6/2016 2:10:25 PM ,3386,20.94,20.61,0.33,0.1,3188,0.039,0.354,0.315,0.1,0.942,0.5,0.50,STABLE,0.04,0.07,0.000,0.000,1465,760,788,370,358,1.1,0.5,16.4,24.8,767.0,ON,
4,0101,6/6/2016 2:30:25 PM ,2698,20.94,20.69,0.26,0.1,2250,0.039,0.261,0.222,0.1,0.834,0.4,0.50,STABLE,-0.02,0.05,0.000,0.000,551,75,120,27,3,1.0,0.5,16.2,24.8,766.8,ON,
5,0101,6/6/2016 2:50:25 PM ,4163,20.94,20.54,0.40,0.1,3604,0.039,0.395,0.356,0.1,0.866,0.6,0.50,STABLE,0.03,0.08,0.000,0.000,1059,720,352,207,163,1.0,0.5,16.3,24.8,766.8,ON,
6,0101,6/6/2016 3:10:25 PM ,3869,20.94,20.57,0.37,0.2,3338,0.039,0.369,0.330,0.1,0.863,0.6,0.50,STABLE,0.00,0.08,0.000,0.000,3843,2764,1528,945,1170,1.1,0.5,16.4,24.8,766.5,ON,
7,0101,6/6/2016 3:30:25 PM ,3784,20.94,20.58,0.37,0.2,3389,0.039,0.374,0.335,0.2,0.896,0.6,0.50,STABLE,0.05,0.13,0.000,0.000,2443,1544,1173,687,1038,1.1,0.5,16.4,24.8,766.5,ON,
8,0101,6/6/2016 3:50:25 PM ,3097,20.95,20.65,0.30,0.2,2738,0.039,0.309,0.270,0.2,0.884,0.4,0.50,STABLE,0.00,0.13,0.000,0.000,1553,637,852,365,429,1.0,0.5,16.4,24.8,766.3,ON,
9,0101,6/6/2016 4:10:25 PM ,3745,20.94,20.59,0.36,0.3,3134,0.039,0.349,0.310,0.2,0.837,0.5,0.50,STABLE,0.01,0.14,0.000,0.000,501,275,224,109,179,1.0,0.5,19.1,24.8,766.3,ON,
10,0101,6/6/2016 4:30:25 PM ,3384,20.95,20.62,0.33,0.3,2984,0.039,0.334,0.295,0.3,0.882,0.5,0.50,STABLE,0.04,0.18,0.000,0.000,2039,1204,1181,652,899,1.0,0.5,19.6,25.0,766.3,ON,
11,0101,6/6/2016 4:50:25 PM ,2973,20.95,20.66,0.28,0.3,2405,0.039,0.277,0.238,0.3,0.809,0.4,0.50,STABLE,-0.01,0.17,0.000,0.000,780,172,351,98,158,1.0,0.5,19.6,25.0,766.3,ON,
12,0101,6/6/2016 5:10:25 PM ,2703,20.95,20.69,0.25,0.4,2110,0.039,0.248,0.208,0.3,0.781,0.4,0.50,STABLE,0.00,0.17,0.000,0.000,104,35,47,10,2,1.0,0.5,19.6,25.0,766.0,ON,
13,0101,6/6/2016 5:30:25 PM ,3272,20.95,20.63,0.31,0.4,2815,0.039,0.317,0.278,0.3,0.860,0.5,0.50,STABLE,0.06,0.23,0.000,0.000,1909,1195,1013,556,808,1.0,0.5,19.9,25.0,766.0,ON,
14,0101,6/6/2016 5:50:25 PM ,2905,20.95,20.67,0.28,0.4,2339,0.039,0.270,0.231,0.4,0.805,0.4,0.50,STABLE,-0.01,0.22,0.000,0.000,788,129,239,53,13,1.0,0.5,20.2,25.0,766.0,ON,
15,0101,6/6/2016 6:10:25 PM ,4539,20.95,20.51,0.43,0.5,3711,0.039,0.406,0.367,0.4,0.818,0.6,0.50,STABLE,0.00,0.22,0.000,0.000,1455,1044,631,379,505,1.0,0.5,19.9,25.0,765.7,OFF,
16,0101,6/6/2016 6:30:25 PM ,3975,20.94,20.56,0.38,0.5,3356,0.039,0.371,0.332,0.4,0.844,0.6,0.50,DYNAMIC,0.03,0.25,0.000,0.000,3345,2302,1568,996,1374,1.0,0.5,19.6,24.9,765.7,OFF,
17,0101,6/6/2016 6:50:25 PM ,4037,20.94,20.56,0.39,0.5,3397,0.039,0.375,0.336,0.5,0.842,0.6,0.50,STABLE,0.05,0.30,0.000,0.000,1886,1050,1165,623,623,1.0,0.5,19.6,24.9,765.5,OFF,
18,0101,6/6/2016 7:10:25 PM ,3866,20.94,20.57,0.37,0.6,3534,0.039,0.388,0.349,0.5,0.914,0.6,0.50,DYNAMIC,0.08,0.38,0.000,0.000,2501,1523,1817,1122,1279,1.0,0.5,20.4,24.7,765.5,OFF,
19,0101,6/6/2016 7:30:25 PM ,4063,20.94,20.55,0.39,0.6,3549,0.039,0.390,0.351,0.5,0.874,0.6,0.50,STABLE,0.06,0.44,0.000,0.000,3432,2385,1870,1191,1526,1.1,0.5,21.1,24.6,765.5,OFF,
20,0101,6/6/2016 7:50:25 PM ,4104,20.94,20.54,0.40,0.7,3698,0.039,0.405,0.365,0.6,0.901,0.6,0.50,STABLE,0.03,0.47,0.000,0.000,2716,1779,1629,940,1168,1.1,0.5,21.1,24.6,765.2,OFF,
21,0101,6/6/2016 8:10:25 PM ,3873,20.94,20.57,0.37,0.7,3332,0.039,0.369,0.329,0.6,0.860,0.6,0.50,STABLE,0.05,0.52,0.000,0.000,3445,2390,2002,1285,1306,1.1,0.5,21.4,24.6,765.0,OFF,
22,0101,6/6/2016 8:30:25 PM ,4137,20.94,20.54,0.39,0.7,3459,0.040,0.381,0.342,0.6,0.836,0.6,0.50,STABLE,0.01,0.53,0.000,0.000,3801,2685,2151,1394,1571,1.1,0.5,20.8,24.6,765.0,OFF,
23,0101,6/6/2016 8:50:25 PM ,4114,20.93,20.54,0.39,0.8,3419,0.040,0.377,0.338,0.7,0.831,0.6,0.50,STABLE,0.04,0.57,0.000,0.000,3386,2249,2245,1433,1736,1.1,0.5,20.5,24.3,765.0,OFF,
24,0101,6/6/2016 9:10:25 PM ,4136,20.94,20.54,0.40,0.8,3529,0.040,0.388,0.349,0.7,0.853,0.6,0.50,STABLE,0.05,0.62,0.000,0.000,3285,2229,2164,1401,1550,1.0,0.5,20.7,24.3,765.0,OFF,
25,0101,6/6/2016 9:30:25 PM ,3975,20.93,20.56,0.38,0.9,3345,0.040,0.370,0.331,0.7,0.841,0.6,0.50,DYNAMIC,0.06,0.68,0.000,0.000,2913,1856,2137,1396,1381,1.1,0.5,21.1,24.2,765.0,OFF,
26,0101,6/6/2016 9:50:25 PM ,3879,20.93,20.56,0.37,0.9,3289,0.040,0.365,0.325,0.8,0.848,0.6,0.50,STABLE,0.07,0.75,0.000,0.000,1873,1034,1336,788,634,1.1,0.5,21.6,24.2,765.0,OFF,
27,0101,6/6/2016 10:10:25 PM ,4169,20.93,20.53,0.40,0.9,3750,0.040,0.410,0.370,0.8,0.900,0.6,0.50,STABLE,0.07,0.82,0.060,0.060,3314,2295,2249,1510,1542,1.1,0.5,21.6,24.2,765.0,OFF,
28,0101,6/6/2016 10:30:25 PM ,3991,20.93,20.55,0.39,1.0,3590,0.040,0.394,0.355,0.8,0.899,0.6,0.50,STABLE,0.09,0.91,0.040,0.100,2447,1430,1733,1012,842,1.0,0.5,22.2,24.2,765.0,OFF,
29,0101,6/6/2016 10:50:25 PM ,3722,20.93,20.57,0.36,1.0,3499,0.040,0.386,0.346,0.9,0.940,0.5,0.50,STABLE,0.04,0.95,0.020,0.120,2143,1170,1421,784,629,1.0,0.5,22.2,24.2,765.0,OFF,
30,0101,6/6/2016 11:10:25 PM ,3758,20.93,20.57,0.37,1.1,3520,0.040,0.388,0.348,0.9,0.937,0.6,0.50,STABLE,0.07,1.02,0.020,0.140,2566,1675,1661,1032,1022,1.0,0.5,22.1,24.2,764.7,OFF,
31,0101,6/6/2016 11:30:25 PM ,3882,20.93,20.56,0.37,1.1,3357,0.040,0.372,0.332,0.9,0.865,0.6,0.50,STABLE,0.09,1.11,0.000,0.140,2452,1600,1592,1023,1166,1.1,0.5,21.3,24.2,764.7,OFF,
32,0101,6/6/2016 11:50:25 PM ,3962,20.93,20.55,0.38,1.1,3531,0.040,0.389,0.349,1.0,0.891,0.6,0.50,STABLE,0.11,1.22,0.020,0.160,2932,2015,1867,1202,1359,1.0,0.5,20.6,24.2,764.7,OFF,
33,0101,6/7/2016 12:10:25 AM ,4002,20.93,20.55,0.39,1.2,3568,0.040,0.392,0.352,1.0,0.892,0.6,0.50,STABLE,0.08,1.30,0.040,0.200,2279,1426,1498,869,973,1.0,0.5,19.7,24.2,764.5,OFF,
34,0101,6/7/2016 12:30:25 AM ,3763,20.93,20.57,0.37,1.2,3460,0.040,0.382,0.342,1.0,0.919,0.6,0.50,STABLE,0.07,1.37,0.000,0.200,2405,1396,1645,908,649,1.1,0.5,19.6,24.2,764.5,OFF,
35,0101,6/7/2016 12:50:25 AM ,3819,20.93,20.56,0.37,1.2,3466,0.040,0.382,0.342,1.1,0.908,0.6,0.50,STABLE,0.10,1.47,0.060,0.260,2532,1639,1663,1003,687,1.1,0.5,19.6,24.2,764.5,OFF,
36,0101,6/7/2016 1:10:25 AM ,3736,20.93,20.57,0.36,1.3,3482,0.040,0.384,0.344,1.1,0.932,0.5,0.50,STABLE,0.13,1.60,0.060,0.320,2358,1507,1714,1076,922,1.0,0.5,19.6,24.2,764.2,OFF,
