Oxymax PARAMETER File 

CSV Generation Date,6/13/2016 9:09:43 AM 
Experiment Started,6/6/2016 1:26:16 PM 
Data Filename,C:\Users\Clams-hwh\Documents\Users\SFO\Ruas\Vicente\2016-06-06\2016-06-06.CDTA

Group/Cage,0101
Subject ID,G26
Subject Mass,29.61 G

Group/Cage,0102
Subject ID,G27
Subject Mass,29.09 G

Group/Cage,0103
Subject ID,G28
Subject Mass,29.91 G

Group/Cage,0104
Subject ID,G29
Subject Mass,30.32 G

Group/Cage,0105
Subject ID,G36
Subject Mass,28.2 G

Group/Cage,0106
Subject ID,G37
Subject Mass,28.09 G

Group/Cage,0107
Subject ID,G38
Subject Mass,26.79 G

Group/Cage,0108
Subject ID,G40
Subject Mass,32.35 G

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=4
Heat Calculation Method,STD

Paramter,VCO2 (ml/kg/hr)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,6/6/2016 1:30:25 PM , 2488.638 ,6/6/2016 1:32:25 PM , 4199.063 ,6/6/2016 1:34:25 PM , 2268.965 ,6/6/2016 1:36:25 PM , 3361.363 ,6/6/2016 1:40:25 PM , 2335.36 ,6/6/2016 1:42:25 PM , 2077.818 ,6/6/2016 1:44:25 PM , 2661.669 ,6/6/2016 1:46:25 PM , 1995.992 ,
 2 ,6/6/2016 1:50:25 PM , 2277.886 ,6/6/2016 1:52:25 PM , 3333.245 ,6/6/2016 1:54:25 PM , 3492.342 ,6/6/2016 1:56:25 PM , 3354.154 ,6/6/2016 2:00:25 PM , 3195.788 ,6/6/2016 2:02:25 PM , 2072.664 ,6/6/2016 2:04:25 PM , 2779.952 ,6/6/2016 2:06:25 PM , 2078.7 ,
 3 ,6/6/2016 2:10:25 PM , 3188.32 ,6/6/2016 2:12:25 PM , 4116.051 ,6/6/2016 2:14:25 PM , 2978.138 ,6/6/2016 2:16:25 PM , 2867.04 ,6/6/2016 2:20:25 PM , 2821.87 ,6/6/2016 2:22:25 PM , 3366.994 ,6/6/2016 2:24:25 PM , 2797.911 ,6/6/2016 2:26:25 PM , 1744.276 ,
 4 ,6/6/2016 2:30:25 PM , 2250.073 ,6/6/2016 2:32:25 PM , 3313.586 ,6/6/2016 2:34:25 PM , 2257.009 ,6/6/2016 2:36:25 PM , 2969.188 ,6/6/2016 2:40:25 PM , 3417.407 ,6/6/2016 2:42:25 PM , 2627.856 ,6/6/2016 2:44:25 PM , 2885.761 ,6/6/2016 2:46:25 PM , 1797.086 ,
 5 ,6/6/2016 2:50:25 PM , 3604.419 ,6/6/2016 2:52:25 PM , 4105.159 ,6/6/2016 2:54:25 PM , 2907.665 ,6/6/2016 2:56:25 PM , 3229.045 ,6/6/2016 3:00:25 PM , 2657.137 ,6/6/2016 3:02:25 PM , 2637.585 ,6/6/2016 3:04:25 PM , 2620.333 ,6/6/2016 3:06:25 PM , 1739.628 ,
 6 ,6/6/2016 3:10:25 PM , 3337.904 ,6/6/2016 3:12:25 PM , 4493.82 ,6/6/2016 3:14:25 PM , 2348.24 ,6/6/2016 3:16:25 PM , 3001.684 ,6/6/2016 3:20:25 PM , 2400.013 ,6/6/2016 3:22:25 PM , 2416.533 ,6/6/2016 3:24:25 PM , 2931.135 ,6/6/2016 3:26:25 PM , 2010.196 ,
 7 ,6/6/2016 3:30:25 PM , 3389.004 ,6/6/2016 3:32:25 PM , 4313.082 ,6/6/2016 3:34:25 PM , 2294.374 ,6/6/2016 3:36:25 PM , 2813.113 ,6/6/2016 3:40:25 PM , 2969 ,6/6/2016 3:42:25 PM , 2327.738 ,6/6/2016 3:44:25 PM , 2487.003 ,6/6/2016 3:46:25 PM , 2004.544 ,
 8 ,6/6/2016 3:50:25 PM , 2737.927 ,6/6/2016 3:52:25 PM , 3105.94 ,6/6/2016 3:54:25 PM , 2767.723 ,6/6/2016 3:56:25 PM , 2753.783 ,6/6/2016 4:00:25 PM , 2510.291 ,6/6/2016 4:02:25 PM , 2761.704 ,6/6/2016 4:04:25 PM , 2726.821 ,6/6/2016 4:06:25 PM , 2588.884 ,
 9 ,6/6/2016 4:10:25 PM , 3133.658 ,6/6/2016 4:12:25 PM , 3144.582 ,6/6/2016 4:14:25 PM , 2318.557 ,6/6/2016 4:16:25 PM , 3031.362 ,6/6/2016 4:20:25 PM , 3070.132 ,6/6/2016 4:22:25 PM , 3282.62 ,6/6/2016 4:24:25 PM , 2605.583 ,6/6/2016 4:26:25 PM , 2089.284 ,
 10 ,6/6/2016 4:30:25 PM , 2984.475 ,6/6/2016 4:32:25 PM , 3099.158 ,6/6/2016 4:34:25 PM , 2374.246 ,6/6/2016 4:36:25 PM , 2811.237 ,6/6/2016 4:40:25 PM , 2987.587 ,6/6/2016 4:42:25 PM , 2572.639 ,6/6/2016 4:44:25 PM , 2881.708 ,6/6/2016 4:46:25 PM , 1763.775 ,
 11 ,6/6/2016 4:50:25 PM , 2404.545 ,6/6/2016 4:52:25 PM , 4251.295 ,6/6/2016 4:54:25 PM , 2143.684 ,6/6/2016 4:56:25 PM , 2774.607 ,6/6/2016 5:00:25 PM , 2553.199 ,6/6/2016 5:02:25 PM , 2776.188 ,6/6/2016 5:04:25 PM , 3559.836 ,6/6/2016 5:06:25 PM , 2110.112 ,
 12 ,6/6/2016 5:10:25 PM , 2110.193 ,6/6/2016 5:12:25 PM , 3452.986 ,6/6/2016 5:14:25 PM , 3134.208 ,6/6/2016 5:16:25 PM , 2216.822 ,6/6/2016 5:20:25 PM , 2917.487 ,6/6/2016 5:22:25 PM , 2760.679 ,6/6/2016 5:24:25 PM , 2342.633 ,6/6/2016 5:26:25 PM , 2210.889 ,
 13 ,6/6/2016 5:30:25 PM , 2815.346 ,6/6/2016 5:32:25 PM , 3196.962 ,6/6/2016 5:34:25 PM , 2458.235 ,6/6/2016 5:36:25 PM , 2845.36 ,6/6/2016 5:40:25 PM , 2647.979 ,6/6/2016 5:42:25 PM , 2584.813 ,6/6/2016 5:44:25 PM , 2522.53 ,6/6/2016 5:46:25 PM , 2048.326 ,
 14 ,6/6/2016 5:50:25 PM , 2338.9 ,6/6/2016 5:52:25 PM , 2993.298 ,6/6/2016 5:54:25 PM , 2662.121 ,6/6/2016 5:56:25 PM , 2995.246 ,6/6/2016 6:00:25 PM , 3625.764 ,6/6/2016 6:02:25 PM , 2772.695 ,6/6/2016 6:04:25 PM , 3465.598 ,6/6/2016 6:06:25 PM , 3230.973 ,
 15 ,6/6/2016 6:10:25 PM , 3710.791 ,6/6/2016 6:12:25 PM , 4389.418 ,6/6/2016 6:14:25 PM , 2534.973 ,6/6/2016 6:16:25 PM , 3861.967 ,6/6/2016 6:20:25 PM , 3658.311 ,6/6/2016 6:22:25 PM , 3705.607 ,6/6/2016 6:24:25 PM , 2993.599 ,6/6/2016 6:26:25 PM , 3183.798 ,
 16 ,6/6/2016 6:30:25 PM , 3356.303 ,6/6/2016 6:32:25 PM , 4392.151 ,6/6/2016 6:34:25 PM , 3734.737 ,6/6/2016 6:36:25 PM , 3364.822 ,6/6/2016 6:40:25 PM , 3792.04 ,6/6/2016 6:42:25 PM , 3810.586 ,6/6/2016 6:44:25 PM , 3686.588 ,6/6/2016 6:46:25 PM , 3267.564 ,
 17 ,6/6/2016 6:50:25 PM , 3397.39 ,6/6/2016 6:52:25 PM , 5187.669 ,6/6/2016 6:54:25 PM , 3290.568 ,6/6/2016 6:56:25 PM , 3518.171 ,6/6/2016 7:00:25 PM , 3571.989 ,6/6/2016 7:02:25 PM , 3104.52 ,6/6/2016 7:04:25 PM , 3828.676 ,6/6/2016 7:06:25 PM , 3271.029 ,
 18 ,6/6/2016 7:10:25 PM , 3534.404 ,6/6/2016 7:12:25 PM , 5272.34 ,6/6/2016 7:14:25 PM , 2770.015 ,6/6/2016 7:16:25 PM , 3426.461 ,6/6/2016 7:20:25 PM , 3349.795 ,6/6/2016 7:22:25 PM , 3662.912 ,6/6/2016 7:24:25 PM , 3789.213 ,6/6/2016 7:26:25 PM , 3361.91 ,
 19 ,6/6/2016 7:30:25 PM , 3548.985 ,6/6/2016 7:32:25 PM , 5083.157 ,6/6/2016 7:34:25 PM , 2550.223 ,6/6/2016 7:36:25 PM , 3335.851 ,6/6/2016 7:40:25 PM , 3083.912 ,6/6/2016 7:42:25 PM , 3163.377 ,6/6/2016 7:44:25 PM , 3780.113 ,6/6/2016 7:46:25 PM , 3737.618 ,
 20 ,6/6/2016 7:50:25 PM , 3697.522 ,6/6/2016 7:52:25 PM , 5088.83 ,6/6/2016 7:54:25 PM , 3536.263 ,6/6/2016 7:56:25 PM , 3634.106 ,6/6/2016 8:00:25 PM , 3831.288 ,6/6/2016 8:02:25 PM , 3151.538 ,6/6/2016 8:04:25 PM , 3921.249 ,6/6/2016 8:06:25 PM , 3855.991 ,
 21 ,6/6/2016 8:10:25 PM , 3331.735 ,6/6/2016 8:12:25 PM , 5002.484 ,6/6/2016 8:14:25 PM , 2927.414 ,6/6/2016 8:16:25 PM , 3795.831 ,6/6/2016 8:20:25 PM , 3821.846 ,6/6/2016 8:22:25 PM , 3585.955 ,6/6/2016 8:24:25 PM , 4009.28 ,6/6/2016 8:26:25 PM , 3521.13 ,
 22 ,6/6/2016 8:30:25 PM , 3458.788 ,6/6/2016 8:32:25 PM , 5199.191 ,6/6/2016 8:34:25 PM , 2721.602 ,6/6/2016 8:36:25 PM , 3349.503 ,6/6/2016 8:40:25 PM , 3780.863 ,6/6/2016 8:42:25 PM , 3804.598 ,6/6/2016 8:44:25 PM , 3990.519 ,6/6/2016 8:46:25 PM , 3623.502 ,
 23 ,6/6/2016 8:50:25 PM , 3418.538 ,6/6/2016 8:52:25 PM , 4593.423 ,6/6/2016 8:54:25 PM , 2864.296 ,6/6/2016 8:56:25 PM , 3546.042 ,6/6/2016 9:00:25 PM , 3588.477 ,6/6/2016 9:02:25 PM , 3597.929 ,6/6/2016 9:04:25 PM , 4114.348 ,6/6/2016 9:06:25 PM , 3622.865 ,
 24 ,6/6/2016 9:10:25 PM , 3529.405 ,6/6/2016 9:12:25 PM , 5193.201 ,6/6/2016 9:14:25 PM , 3292.519 ,6/6/2016 9:16:25 PM , 4230.838 ,6/6/2016 9:20:25 PM , 3354.002 ,6/6/2016 9:22:25 PM , 4151.191 ,6/6/2016 9:24:25 PM , 4045.287 ,6/6/2016 9:26:25 PM , 3668.006 ,
