Oxymax PARAMETER File 

CSV Generation Date,6/13/2016 9:09:47 AM 
Experiment Started,6/6/2016 1:26:16 PM 
Data Filename,C:\Users\Clams-hwh\Documents\Users\SFO\Ruas\Vicente\2016-06-06\2016-06-06.CDTA

Group/Cage,0101
Subject ID,G26
Subject Mass,29.61 G

Group/Cage,0102
Subject ID,G27
Subject Mass,29.09 G

Group/Cage,0103
Subject ID,G28
Subject Mass,29.91 G

Group/Cage,0104
Subject ID,G29
Subject Mass,30.32 G

Group/Cage,0105
Subject ID,G36
Subject Mass,28.2 G

Group/Cage,0106
Subject ID,G37
Subject Mass,28.09 G

Group/Cage,0107
Subject ID,G38
Subject Mass,26.79 G

Group/Cage,0108
Subject ID,G40
Subject Mass,32.35 G

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=4
Heat Calculation Method,STD

Paramter,XTOT (counts)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,6/6/2016 1:30:25 PM , 10 ,6/6/2016 1:32:25 PM , 240 ,6/6/2016 1:34:25 PM , 98 ,6/6/2016 1:36:25 PM , 1484 ,6/6/2016 1:40:25 PM , 82 ,6/6/2016 1:42:25 PM , 146 ,6/6/2016 1:44:25 PM , 146 ,6/6/2016 1:46:25 PM , 35 ,
 2 ,6/6/2016 1:50:25 PM , 274 ,6/6/2016 1:52:25 PM , 408 ,6/6/2016 1:54:25 PM , 406 ,6/6/2016 1:56:25 PM , 2557 ,6/6/2016 2:00:25 PM , 731 ,6/6/2016 2:02:25 PM , 42 ,6/6/2016 2:04:25 PM , 93 ,6/6/2016 2:06:25 PM , 244 ,
 3 ,6/6/2016 2:10:25 PM , 1465 ,6/6/2016 2:12:25 PM , 1249 ,6/6/2016 2:14:25 PM , 829 ,6/6/2016 2:16:25 PM , 1423 ,6/6/2016 2:20:25 PM , 593 ,6/6/2016 2:22:25 PM , 608 ,6/6/2016 2:24:25 PM , 153 ,6/6/2016 2:26:25 PM , 97 ,
 4 ,6/6/2016 2:30:25 PM , 551 ,6/6/2016 2:32:25 PM , 32 ,6/6/2016 2:34:25 PM , 102 ,6/6/2016 2:36:25 PM , 842 ,6/6/2016 2:40:25 PM , 1397 ,6/6/2016 2:42:25 PM , 496 ,6/6/2016 2:44:25 PM , 50 ,6/6/2016 2:46:25 PM , 4 ,
 5 ,6/6/2016 2:50:25 PM , 1059 ,6/6/2016 2:52:25 PM , 334 ,6/6/2016 2:54:25 PM , 453 ,6/6/2016 2:56:25 PM , 1859 ,6/6/2016 3:00:25 PM , 503 ,6/6/2016 3:02:25 PM , 226 ,6/6/2016 3:04:25 PM , 87 ,6/6/2016 3:06:25 PM , 10 ,
 6 ,6/6/2016 3:10:25 PM , 3843 ,6/6/2016 3:12:25 PM , 1377 ,6/6/2016 3:14:25 PM , 51 ,6/6/2016 3:16:25 PM , 769 ,6/6/2016 3:20:25 PM , 475 ,6/6/2016 3:22:25 PM , 129 ,6/6/2016 3:24:25 PM , 377 ,6/6/2016 3:26:25 PM , 83 ,
 7 ,6/6/2016 3:30:25 PM , 2443 ,6/6/2016 3:32:25 PM , 189 ,6/6/2016 3:34:25 PM , 41 ,6/6/2016 3:36:25 PM , 1291 ,6/6/2016 3:40:25 PM , 986 ,6/6/2016 3:42:25 PM , 219 ,6/6/2016 3:44:25 PM , 37 ,6/6/2016 3:46:25 PM , 30 ,
 8 ,6/6/2016 3:50:25 PM , 1553 ,6/6/2016 3:52:25 PM , 794 ,6/6/2016 3:54:25 PM , 354 ,6/6/2016 3:56:25 PM , 1053 ,6/6/2016 4:00:25 PM , 513 ,6/6/2016 4:02:25 PM , 194 ,6/6/2016 4:04:25 PM , 106 ,6/6/2016 4:06:25 PM , 93 ,
 9 ,6/6/2016 4:10:25 PM , 501 ,6/6/2016 4:12:25 PM , 66 ,6/6/2016 4:14:25 PM , 149 ,6/6/2016 4:16:25 PM , 1145 ,6/6/2016 4:20:25 PM , 647 ,6/6/2016 4:22:25 PM , 486 ,6/6/2016 4:24:25 PM , 71 ,6/6/2016 4:26:25 PM , 297 ,
 10 ,6/6/2016 4:30:25 PM , 2039 ,6/6/2016 4:32:25 PM , 45 ,6/6/2016 4:34:25 PM , 44 ,6/6/2016 4:36:25 PM , 1410 ,6/6/2016 4:40:25 PM , 781 ,6/6/2016 4:42:25 PM , 170 ,6/6/2016 4:44:25 PM , 158 ,6/6/2016 4:46:25 PM , 425 ,
 11 ,6/6/2016 4:50:25 PM , 780 ,6/6/2016 4:52:25 PM , 446 ,6/6/2016 4:54:25 PM , 58 ,6/6/2016 4:56:25 PM , 1093 ,6/6/2016 5:00:25 PM , 227 ,6/6/2016 5:02:25 PM , 77 ,6/6/2016 5:04:25 PM , 695 ,6/6/2016 5:06:25 PM , 57 ,
 12 ,6/6/2016 5:10:25 PM , 104 ,6/6/2016 5:12:25 PM , 858 ,6/6/2016 5:14:25 PM , 589 ,6/6/2016 5:16:25 PM , 920 ,6/6/2016 5:20:25 PM , 228 ,6/6/2016 5:22:25 PM , 158 ,6/6/2016 5:24:25 PM , 191 ,6/6/2016 5:26:25 PM , 231 ,
 13 ,6/6/2016 5:30:25 PM , 1909 ,6/6/2016 5:32:25 PM , 18 ,6/6/2016 5:34:25 PM , 269 ,6/6/2016 5:36:25 PM , 734 ,6/6/2016 5:40:25 PM , 172 ,6/6/2016 5:42:25 PM , 137 ,6/6/2016 5:44:25 PM , 80 ,6/6/2016 5:46:25 PM , 85 ,
 14 ,6/6/2016 5:50:25 PM , 788 ,6/6/2016 5:52:25 PM , 168 ,6/6/2016 5:54:25 PM , 100 ,6/6/2016 5:56:25 PM , 351 ,6/6/2016 6:00:25 PM , 723 ,6/6/2016 6:02:25 PM , 59 ,6/6/2016 6:04:25 PM , 1143 ,6/6/2016 6:06:25 PM , 283 ,
 15 ,6/6/2016 6:10:25 PM , 1455 ,6/6/2016 6:12:25 PM , 749 ,6/6/2016 6:14:25 PM , 231 ,6/6/2016 6:16:25 PM , 1470 ,6/6/2016 6:20:25 PM , 1968 ,6/6/2016 6:22:25 PM , 1516 ,6/6/2016 6:24:25 PM , 430 ,6/6/2016 6:26:25 PM , 1846 ,
 16 ,6/6/2016 6:30:25 PM , 3345 ,6/6/2016 6:32:25 PM , 627 ,6/6/2016 6:34:25 PM , 633 ,6/6/2016 6:36:25 PM , 3329 ,6/6/2016 6:40:25 PM , 1988 ,6/6/2016 6:42:25 PM , 1384 ,6/6/2016 6:44:25 PM , 2101 ,6/6/2016 6:46:25 PM , 2048 ,
 17 ,6/6/2016 6:50:25 PM , 1886 ,6/6/2016 6:52:25 PM , 1026 ,6/6/2016 6:54:25 PM , 1146 ,6/6/2016 6:56:25 PM , 2612 ,6/6/2016 7:00:25 PM , 1917 ,6/6/2016 7:02:25 PM , 1705 ,6/6/2016 7:04:25 PM , 1419 ,6/6/2016 7:06:25 PM , 2032 ,
 18 ,6/6/2016 7:10:25 PM , 2501 ,6/6/2016 7:12:25 PM , 1698 ,6/6/2016 7:14:25 PM , 806 ,6/6/2016 7:16:25 PM , 2552 ,6/6/2016 7:20:25 PM , 1900 ,6/6/2016 7:22:25 PM , 2140 ,6/6/2016 7:24:25 PM , 1783 ,6/6/2016 7:26:25 PM , 1554 ,
 19 ,6/6/2016 7:30:25 PM , 3432 ,6/6/2016 7:32:25 PM , 1468 ,6/6/2016 7:34:25 PM , 547 ,6/6/2016 7:36:25 PM , 2511 ,6/6/2016 7:40:25 PM , 1151 ,6/6/2016 7:42:25 PM , 1515 ,6/6/2016 7:44:25 PM , 2038 ,6/6/2016 7:46:25 PM , 2138 ,
 20 ,6/6/2016 7:50:25 PM , 2716 ,6/6/2016 7:52:25 PM , 1233 ,6/6/2016 7:54:25 PM , 843 ,6/6/2016 7:56:25 PM , 2798 ,6/6/2016 8:00:25 PM , 2070 ,6/6/2016 8:02:25 PM , 1649 ,6/6/2016 8:04:25 PM , 2635 ,6/6/2016 8:06:25 PM , 1922 ,
 21 ,6/6/2016 8:10:25 PM , 3445 ,6/6/2016 8:12:25 PM , 755 ,6/6/2016 8:14:25 PM , 662 ,6/6/2016 8:16:25 PM , 2726 ,6/6/2016 8:20:25 PM , 1788 ,6/6/2016 8:22:25 PM , 1316 ,6/6/2016 8:24:25 PM , 2464 ,6/6/2016 8:26:25 PM , 2077 ,
 22 ,6/6/2016 8:30:25 PM , 3801 ,6/6/2016 8:32:25 PM , 1335 ,6/6/2016 8:34:25 PM , 556 ,6/6/2016 8:36:25 PM , 1391 ,6/6/2016 8:40:25 PM , 1937 ,6/6/2016 8:42:25 PM , 1420 ,6/6/2016 8:44:25 PM , 1724 ,6/6/2016 8:46:25 PM , 1881 ,
 23 ,6/6/2016 8:50:25 PM , 3386 ,6/6/2016 8:52:25 PM , 423 ,6/6/2016 8:54:25 PM , 515 ,6/6/2016 8:56:25 PM , 2157 ,6/6/2016 9:00:25 PM , 2075 ,6/6/2016 9:02:25 PM , 1347 ,6/6/2016 9:04:25 PM , 2073 ,6/6/2016 9:06:25 PM , 2742 ,
 24 ,6/6/2016 9:10:25 PM , 3285 ,6/6/2016 9:12:25 PM , 1138 ,6/6/2016 9:14:25 PM , 476 ,6/6/2016 9:16:25 PM , 1360 ,6/6/2016 9:20:25 PM , 1276 ,6/6/2016 9:22:25 PM , 2021 ,6/6/2016 9:24:25 PM , 2203 ,6/6/2016 9:26:25 PM , 2460 ,
 25 ,6/6/2016 9:30:25 PM , 2913 ,6/6/2016 9:32:25 PM , 483 ,6/6/2016 9:34:25 PM , 972 ,6/6/2016 9:36:25 PM , 2103 ,6/6/2016 9:40:25 PM , 2876 ,6/6/2016 9:42:25 PM , 1140 ,6/6/2016 9:44:25 PM , 1569 ,6/6/2016 9:46:25 PM , 2058 ,
 26 ,6/6/2016 9:50:25 PM , 1873 ,6/6/2016 9:52:25 PM , 1086 ,6/6/2016 9:54:25 PM , 790 ,6/6/2016 9:56:25 PM , 1807 ,6/6/2016 10:00:25 PM , 1037 ,6/6/2016 10:02:25 PM , 1110 ,6/6/2016 10:04:25 PM , 2186 ,6/6/2016 10:06:25 PM , 2108 ,
 27 ,6/6/2016 10:10:25 PM , 3314 ,6/6/2016 10:12:25 PM , 2610 ,6/6/2016 10:14:25 PM , 874 ,6/6/2016 10:16:25 PM , 2860 ,6/6/2016 10:20:25 PM , 3286 ,6/6/2016 10:22:25 PM , 1072 ,6/6/2016 10:24:25 PM , 1201 ,6/6/2016 10:26:25 PM , 2031 ,
