Oxymax PARAMETER File 

CSV Generation Date,6/13/2016 9:09:48 AM 
Experiment Started,6/6/2016 1:26:16 PM 
Data Filename,C:\Users\Clams-hwh\Documents\Users\SFO\Ruas\Vicente\2016-06-06\2016-06-06.CDTA

Group/Cage,0101
Subject ID,G26
Subject Mass,29.61 G

Group/Cage,0102
Subject ID,G27
Subject Mass,29.09 G

Group/Cage,0103
Subject ID,G28
Subject Mass,29.91 G

Group/Cage,0104
Subject ID,G29
Subject Mass,30.32 G

Group/Cage,0105
Subject ID,G36
Subject Mass,28.2 G

Group/Cage,0106
Subject ID,G37
Subject Mass,28.09 G

Group/Cage,0107
Subject ID,G38
Subject Mass,26.79 G

Group/Cage,0108
Subject ID,G40
Subject Mass,32.35 G

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=4
Heat Calculation Method,STD

Paramter,YAMB (counts)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,6/6/2016 1:30:25 PM , 2 ,6/6/2016 1:32:25 PM , 69 ,6/6/2016 1:34:25 PM , 8 ,6/6/2016 1:36:25 PM , 431 ,6/6/2016 1:40:25 PM , 16 ,6/6/2016 1:42:25 PM , 27 ,6/6/2016 1:44:25 PM , 145 ,6/6/2016 1:46:25 PM , 8 ,
 2 ,6/6/2016 1:50:25 PM , 58 ,6/6/2016 1:52:25 PM , 131 ,6/6/2016 1:54:25 PM , 122 ,6/6/2016 1:56:25 PM , 1011 ,6/6/2016 2:00:25 PM , 177 ,6/6/2016 2:02:25 PM , 1 ,6/6/2016 2:04:25 PM , 78 ,6/6/2016 2:06:25 PM , 60 ,
 3 ,6/6/2016 2:10:25 PM , 370 ,6/6/2016 2:12:25 PM , 317 ,6/6/2016 2:14:25 PM , 266 ,6/6/2016 2:16:25 PM , 628 ,6/6/2016 2:20:25 PM , 101 ,6/6/2016 2:22:25 PM , 116 ,6/6/2016 2:24:25 PM , 153 ,6/6/2016 2:26:25 PM , 15 ,
 4 ,6/6/2016 2:30:25 PM , 27 ,6/6/2016 2:32:25 PM , 5 ,6/6/2016 2:34:25 PM , 3 ,6/6/2016 2:36:25 PM , 312 ,6/6/2016 2:40:25 PM , 374 ,6/6/2016 2:42:25 PM , 98 ,6/6/2016 2:44:25 PM , 57 ,6/6/2016 2:46:25 PM , 9 ,
 5 ,6/6/2016 2:50:25 PM , 207 ,6/6/2016 2:52:25 PM , 64 ,6/6/2016 2:54:25 PM , 147 ,6/6/2016 2:56:25 PM , 615 ,6/6/2016 3:00:25 PM , 126 ,6/6/2016 3:02:25 PM , 42 ,6/6/2016 3:04:25 PM , 44 ,6/6/2016 3:06:25 PM , 2 ,
 6 ,6/6/2016 3:10:25 PM , 945 ,6/6/2016 3:12:25 PM , 208 ,6/6/2016 3:14:25 PM , 18 ,6/6/2016 3:16:25 PM , 287 ,6/6/2016 3:20:25 PM , 131 ,6/6/2016 3:22:25 PM , 11 ,6/6/2016 3:24:25 PM , 372 ,6/6/2016 3:26:25 PM , 12 ,
 7 ,6/6/2016 3:30:25 PM , 687 ,6/6/2016 3:32:25 PM , 19 ,6/6/2016 3:34:25 PM , 21 ,6/6/2016 3:36:25 PM , 375 ,6/6/2016 3:40:25 PM , 236 ,6/6/2016 3:42:25 PM , 48 ,6/6/2016 3:44:25 PM , 62 ,6/6/2016 3:46:25 PM , 13 ,
 8 ,6/6/2016 3:50:25 PM , 365 ,6/6/2016 3:52:25 PM , 167 ,6/6/2016 3:54:25 PM , 102 ,6/6/2016 3:56:25 PM , 310 ,6/6/2016 4:00:25 PM , 89 ,6/6/2016 4:02:25 PM , 31 ,6/6/2016 4:04:25 PM , 60 ,6/6/2016 4:06:25 PM , 31 ,
 9 ,6/6/2016 4:10:25 PM , 109 ,6/6/2016 4:12:25 PM , 14 ,6/6/2016 4:14:25 PM , 34 ,6/6/2016 4:16:25 PM , 340 ,6/6/2016 4:20:25 PM , 149 ,6/6/2016 4:22:25 PM , 109 ,6/6/2016 4:24:25 PM , 83 ,6/6/2016 4:26:25 PM , 43 ,
 10 ,6/6/2016 4:30:25 PM , 652 ,6/6/2016 4:32:25 PM , 10 ,6/6/2016 4:34:25 PM , 27 ,6/6/2016 4:36:25 PM , 429 ,6/6/2016 4:40:25 PM , 174 ,6/6/2016 4:42:25 PM , 17 ,6/6/2016 4:44:25 PM , 127 ,6/6/2016 4:46:25 PM , 78 ,
 11 ,6/6/2016 4:50:25 PM , 98 ,6/6/2016 4:52:25 PM , 97 ,6/6/2016 4:54:25 PM , 15 ,6/6/2016 4:56:25 PM , 357 ,6/6/2016 5:00:25 PM , 12 ,6/6/2016 5:02:25 PM , 5 ,6/6/2016 5:04:25 PM , 377 ,6/6/2016 5:06:25 PM , 7 ,
 12 ,6/6/2016 5:10:25 PM , 10 ,6/6/2016 5:12:25 PM , 180 ,6/6/2016 5:14:25 PM , 243 ,6/6/2016 5:16:25 PM , 309 ,6/6/2016 5:20:25 PM , 62 ,6/6/2016 5:22:25 PM , 26 ,6/6/2016 5:24:25 PM , 115 ,6/6/2016 5:26:25 PM , 26 ,
 13 ,6/6/2016 5:30:25 PM , 556 ,6/6/2016 5:32:25 PM , 2 ,6/6/2016 5:34:25 PM , 50 ,6/6/2016 5:36:25 PM , 174 ,6/6/2016 5:40:25 PM , 41 ,6/6/2016 5:42:25 PM , 9 ,6/6/2016 5:44:25 PM , 53 ,6/6/2016 5:46:25 PM , 4 ,
 14 ,6/6/2016 5:50:25 PM , 53 ,6/6/2016 5:52:25 PM , 77 ,6/6/2016 5:54:25 PM , 33 ,6/6/2016 5:56:25 PM , 130 ,6/6/2016 6:00:25 PM , 204 ,6/6/2016 6:02:25 PM , 17 ,6/6/2016 6:04:25 PM , 680 ,6/6/2016 6:06:25 PM , 114 ,
 15 ,6/6/2016 6:10:25 PM , 379 ,6/6/2016 6:12:25 PM , 116 ,6/6/2016 6:14:25 PM , 64 ,6/6/2016 6:16:25 PM , 600 ,6/6/2016 6:20:25 PM , 690 ,6/6/2016 6:22:25 PM , 372 ,6/6/2016 6:24:25 PM , 423 ,6/6/2016 6:26:25 PM , 586 ,
 16 ,6/6/2016 6:30:25 PM , 996 ,6/6/2016 6:32:25 PM , 168 ,6/6/2016 6:34:25 PM , 177 ,6/6/2016 6:36:25 PM , 1396 ,6/6/2016 6:40:25 PM , 706 ,6/6/2016 6:42:25 PM , 357 ,6/6/2016 6:44:25 PM , 1347 ,6/6/2016 6:46:25 PM , 642 ,
 17 ,6/6/2016 6:50:25 PM , 623 ,6/6/2016 6:52:25 PM , 263 ,6/6/2016 6:54:25 PM , 413 ,6/6/2016 6:56:25 PM , 1038 ,6/6/2016 7:00:25 PM , 616 ,6/6/2016 7:02:25 PM , 377 ,6/6/2016 7:04:25 PM , 1021 ,6/6/2016 7:06:25 PM , 610 ,
 18 ,6/6/2016 7:10:25 PM , 1122 ,6/6/2016 7:12:25 PM , 452 ,6/6/2016 7:14:25 PM , 210 ,6/6/2016 7:16:25 PM , 1082 ,6/6/2016 7:20:25 PM , 502 ,6/6/2016 7:22:25 PM , 523 ,6/6/2016 7:24:25 PM , 986 ,6/6/2016 7:26:25 PM , 495 ,
 19 ,6/6/2016 7:30:25 PM , 1191 ,6/6/2016 7:32:25 PM , 453 ,6/6/2016 7:34:25 PM , 155 ,6/6/2016 7:36:25 PM , 917 ,6/6/2016 7:40:25 PM , 343 ,6/6/2016 7:42:25 PM , 392 ,6/6/2016 7:44:25 PM , 1183 ,6/6/2016 7:46:25 PM , 573 ,
 20 ,6/6/2016 7:50:25 PM , 940 ,6/6/2016 7:52:25 PM , 281 ,6/6/2016 7:54:25 PM , 266 ,6/6/2016 7:56:25 PM , 1391 ,6/6/2016 8:00:25 PM , 826 ,6/6/2016 8:02:25 PM , 449 ,6/6/2016 8:04:25 PM , 1474 ,6/6/2016 8:06:25 PM , 425 ,
 21 ,6/6/2016 8:10:25 PM , 1285 ,6/6/2016 8:12:25 PM , 179 ,6/6/2016 8:14:25 PM , 227 ,6/6/2016 8:16:25 PM , 1340 ,6/6/2016 8:20:25 PM , 536 ,6/6/2016 8:22:25 PM , 320 ,6/6/2016 8:24:25 PM , 1340 ,6/6/2016 8:26:25 PM , 511 ,
 22 ,6/6/2016 8:30:25 PM , 1394 ,6/6/2016 8:32:25 PM , 359 ,6/6/2016 8:34:25 PM , 195 ,6/6/2016 8:36:25 PM , 459 ,6/6/2016 8:40:25 PM , 677 ,6/6/2016 8:42:25 PM , 401 ,6/6/2016 8:44:25 PM , 1268 ,6/6/2016 8:46:25 PM , 636 ,
 23 ,6/6/2016 8:50:25 PM , 1433 ,6/6/2016 8:52:25 PM , 115 ,6/6/2016 8:54:25 PM , 164 ,6/6/2016 8:56:25 PM , 829 ,6/6/2016 9:00:25 PM , 630 ,6/6/2016 9:02:25 PM , 378 ,6/6/2016 9:04:25 PM , 1292 ,6/6/2016 9:06:25 PM , 908 ,
 24 ,6/6/2016 9:10:25 PM , 1401 ,6/6/2016 9:12:25 PM , 369 ,6/6/2016 9:14:25 PM , 190 ,6/6/2016 9:16:25 PM , 546 ,6/6/2016 9:20:25 PM , 344 ,6/6/2016 9:22:25 PM , 665 ,6/6/2016 9:24:25 PM , 1332 ,6/6/2016 9:26:25 PM , 747 ,
 25 ,6/6/2016 9:30:25 PM , 1396 ,6/6/2016 9:32:25 PM , 115 ,6/6/2016 9:34:25 PM , 418 ,6/6/2016 9:36:25 PM , 814 ,6/6/2016 9:40:25 PM , 823 ,6/6/2016 9:42:25 PM , 396 ,6/6/2016 9:44:25 PM , 1235 ,6/6/2016 9:46:25 PM , 553 ,
 26 ,6/6/2016 9:50:25 PM , 788 ,6/6/2016 9:52:25 PM , 177 ,6/6/2016 9:54:25 PM , 280 ,6/6/2016 9:56:25 PM , 499 ,6/6/2016 10:00:25 PM , 221 ,6/6/2016 10:02:25 PM , 387 ,6/6/2016 10:04:25 PM , 1271 ,6/6/2016 10:06:25 PM , 687 ,
 27 ,6/6/2016 10:10:25 PM , 1510 ,6/6/2016 10:12:25 PM , 525 ,6/6/2016 10:14:25 PM , 286 ,6/6/2016 10:16:25 PM , 956 ,6/6/2016 10:20:25 PM , 1148 ,6/6/2016 10:22:25 PM , 265 ,6/6/2016 10:24:25 PM , 897 ,6/6/2016 10:26:25 PM , 617 ,
