Oxymax PARAMETER File 

CSV Generation Date,6/13/2016 9:09:48 AM 
Experiment Started,6/6/2016 1:26:16 PM 
Data Filename,C:\Users\Clams-hwh\Documents\Users\SFO\Ruas\Vicente\2016-06-06\2016-06-06.CDTA

Group/Cage,0101
Subject ID,G26
Subject Mass,29.61 G

Group/Cage,0102
Subject ID,G27
Subject Mass,29.09 G

Group/Cage,0103
Subject ID,G28
Subject Mass,29.91 G

Group/Cage,0104
Subject ID,G29
Subject Mass,30.32 G

Group/Cage,0105
Subject ID,G36
Subject Mass,28.2 G

Group/Cage,0106
Subject ID,G37
Subject Mass,28.09 G

Group/Cage,0107
Subject ID,G38
Subject Mass,26.79 G

Group/Cage,0108
Subject ID,G40
Subject Mass,32.35 G

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=4
Heat Calculation Method,STD

Paramter,YTOT (counts)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,6/6/2016 1:30:25 PM , 8 ,6/6/2016 1:32:25 PM , 189 ,6/6/2016 1:34:25 PM , 32 ,6/6/2016 1:36:25 PM , 743 ,6/6/2016 1:40:25 PM , 55 ,6/6/2016 1:42:25 PM , 91 ,6/6/2016 1:44:25 PM , 186 ,6/6/2016 1:46:25 PM , 25 ,
 2 ,6/6/2016 1:50:25 PM , 125 ,6/6/2016 1:52:25 PM , 339 ,6/6/2016 1:54:25 PM , 302 ,6/6/2016 1:56:25 PM , 1586 ,6/6/2016 2:00:25 PM , 376 ,6/6/2016 2:02:25 PM , 13 ,6/6/2016 2:04:25 PM , 100 ,6/6/2016 2:06:25 PM , 196 ,
 3 ,6/6/2016 2:10:25 PM , 788 ,6/6/2016 2:12:25 PM , 649 ,6/6/2016 2:14:25 PM , 754 ,6/6/2016 2:16:25 PM , 1195 ,6/6/2016 2:20:25 PM , 429 ,6/6/2016 2:22:25 PM , 269 ,6/6/2016 2:24:25 PM , 186 ,6/6/2016 2:26:25 PM , 98 ,
 4 ,6/6/2016 2:30:25 PM , 120 ,6/6/2016 2:32:25 PM , 36 ,6/6/2016 2:34:25 PM , 47 ,6/6/2016 2:36:25 PM , 677 ,6/6/2016 2:40:25 PM , 766 ,6/6/2016 2:42:25 PM , 271 ,6/6/2016 2:44:25 PM , 71 ,6/6/2016 2:46:25 PM , 47 ,
 5 ,6/6/2016 2:50:25 PM , 352 ,6/6/2016 2:52:25 PM , 150 ,6/6/2016 2:54:25 PM , 454 ,6/6/2016 2:56:25 PM , 953 ,6/6/2016 3:00:25 PM , 353 ,6/6/2016 3:02:25 PM , 96 ,6/6/2016 3:04:25 PM , 57 ,6/6/2016 3:06:25 PM , 13 ,
 6 ,6/6/2016 3:10:25 PM , 1528 ,6/6/2016 3:12:25 PM , 578 ,6/6/2016 3:14:25 PM , 57 ,6/6/2016 3:16:25 PM , 720 ,6/6/2016 3:20:25 PM , 272 ,6/6/2016 3:22:25 PM , 50 ,6/6/2016 3:24:25 PM , 509 ,6/6/2016 3:26:25 PM , 24 ,
 7 ,6/6/2016 3:30:25 PM , 1173 ,6/6/2016 3:32:25 PM , 84 ,6/6/2016 3:34:25 PM , 58 ,6/6/2016 3:36:25 PM , 667 ,6/6/2016 3:40:25 PM , 601 ,6/6/2016 3:42:25 PM , 179 ,6/6/2016 3:44:25 PM , 87 ,6/6/2016 3:46:25 PM , 32 ,
 8 ,6/6/2016 3:50:25 PM , 852 ,6/6/2016 3:52:25 PM , 400 ,6/6/2016 3:54:25 PM , 303 ,6/6/2016 3:56:25 PM , 514 ,6/6/2016 4:00:25 PM , 373 ,6/6/2016 4:02:25 PM , 83 ,6/6/2016 4:04:25 PM , 73 ,6/6/2016 4:06:25 PM , 135 ,
 9 ,6/6/2016 4:10:25 PM , 224 ,6/6/2016 4:12:25 PM , 43 ,6/6/2016 4:14:25 PM , 221 ,6/6/2016 4:16:25 PM , 678 ,6/6/2016 4:20:25 PM , 346 ,6/6/2016 4:22:25 PM , 321 ,6/6/2016 4:24:25 PM , 104 ,6/6/2016 4:26:25 PM , 220 ,
 10 ,6/6/2016 4:30:25 PM , 1181 ,6/6/2016 4:32:25 PM , 31 ,6/6/2016 4:34:25 PM , 65 ,6/6/2016 4:36:25 PM , 720 ,6/6/2016 4:40:25 PM , 588 ,6/6/2016 4:42:25 PM , 86 ,6/6/2016 4:44:25 PM , 154 ,6/6/2016 4:46:25 PM , 329 ,
 11 ,6/6/2016 4:50:25 PM , 351 ,6/6/2016 4:52:25 PM , 211 ,6/6/2016 4:54:25 PM , 76 ,6/6/2016 4:56:25 PM , 645 ,6/6/2016 5:00:25 PM , 40 ,6/6/2016 5:02:25 PM , 22 ,6/6/2016 5:04:25 PM , 480 ,6/6/2016 5:06:25 PM , 25 ,
 12 ,6/6/2016 5:10:25 PM , 47 ,6/6/2016 5:12:25 PM , 579 ,6/6/2016 5:14:25 PM , 689 ,6/6/2016 5:16:25 PM , 532 ,6/6/2016 5:20:25 PM , 160 ,6/6/2016 5:22:25 PM , 65 ,6/6/2016 5:24:25 PM , 160 ,6/6/2016 5:26:25 PM , 190 ,
 13 ,6/6/2016 5:30:25 PM , 1013 ,6/6/2016 5:32:25 PM , 17 ,6/6/2016 5:34:25 PM , 252 ,6/6/2016 5:36:25 PM , 422 ,6/6/2016 5:40:25 PM , 76 ,6/6/2016 5:42:25 PM , 48 ,6/6/2016 5:44:25 PM , 65 ,6/6/2016 5:46:25 PM , 9 ,
 14 ,6/6/2016 5:50:25 PM , 239 ,6/6/2016 5:52:25 PM , 281 ,6/6/2016 5:54:25 PM , 77 ,6/6/2016 5:56:25 PM , 208 ,6/6/2016 6:00:25 PM , 498 ,6/6/2016 6:02:25 PM , 48 ,6/6/2016 6:04:25 PM , 816 ,6/6/2016 6:06:25 PM , 326 ,
 15 ,6/6/2016 6:10:25 PM , 631 ,6/6/2016 6:12:25 PM , 306 ,6/6/2016 6:14:25 PM , 203 ,6/6/2016 6:16:25 PM , 995 ,6/6/2016 6:20:25 PM , 1236 ,6/6/2016 6:22:25 PM , 752 ,6/6/2016 6:24:25 PM , 529 ,6/6/2016 6:26:25 PM , 1150 ,
 16 ,6/6/2016 6:30:25 PM , 1568 ,6/6/2016 6:32:25 PM , 419 ,6/6/2016 6:34:25 PM , 585 ,6/6/2016 6:36:25 PM , 2092 ,6/6/2016 6:40:25 PM , 1307 ,6/6/2016 6:42:25 PM , 792 ,6/6/2016 6:44:25 PM , 1595 ,6/6/2016 6:46:25 PM , 1254 ,
 17 ,6/6/2016 6:50:25 PM , 1165 ,6/6/2016 6:52:25 PM , 499 ,6/6/2016 6:54:25 PM , 1290 ,6/6/2016 6:56:25 PM , 1635 ,6/6/2016 7:00:25 PM , 1150 ,6/6/2016 7:02:25 PM , 825 ,6/6/2016 7:04:25 PM , 1204 ,6/6/2016 7:06:25 PM , 1295 ,
 18 ,6/6/2016 7:10:25 PM , 1817 ,6/6/2016 7:12:25 PM , 941 ,6/6/2016 7:14:25 PM , 708 ,6/6/2016 7:16:25 PM , 1658 ,6/6/2016 7:20:25 PM , 1040 ,6/6/2016 7:22:25 PM , 952 ,6/6/2016 7:24:25 PM , 1195 ,6/6/2016 7:26:25 PM , 1071 ,
 19 ,6/6/2016 7:30:25 PM , 1870 ,6/6/2016 7:32:25 PM , 873 ,6/6/2016 7:34:25 PM , 424 ,6/6/2016 7:36:25 PM , 1467 ,6/6/2016 7:40:25 PM , 614 ,6/6/2016 7:42:25 PM , 765 ,6/6/2016 7:44:25 PM , 1379 ,6/6/2016 7:46:25 PM , 1087 ,
 20 ,6/6/2016 7:50:25 PM , 1629 ,6/6/2016 7:52:25 PM , 843 ,6/6/2016 7:54:25 PM , 517 ,6/6/2016 7:56:25 PM , 2136 ,6/6/2016 8:00:25 PM , 1421 ,6/6/2016 8:02:25 PM , 813 ,6/6/2016 8:04:25 PM , 1714 ,6/6/2016 8:06:25 PM , 962 ,
 21 ,6/6/2016 8:10:25 PM , 2002 ,6/6/2016 8:12:25 PM , 387 ,6/6/2016 8:14:25 PM , 698 ,6/6/2016 8:16:25 PM , 2015 ,6/6/2016 8:20:25 PM , 1089 ,6/6/2016 8:22:25 PM , 664 ,6/6/2016 8:24:25 PM , 1536 ,6/6/2016 8:26:25 PM , 1143 ,
 22 ,6/6/2016 8:30:25 PM , 2151 ,6/6/2016 8:32:25 PM , 787 ,6/6/2016 8:34:25 PM , 455 ,6/6/2016 8:36:25 PM , 938 ,6/6/2016 8:40:25 PM , 1217 ,6/6/2016 8:42:25 PM , 781 ,6/6/2016 8:44:25 PM , 1511 ,6/6/2016 8:46:25 PM , 1244 ,
 23 ,6/6/2016 8:50:25 PM , 2245 ,6/6/2016 8:52:25 PM , 236 ,6/6/2016 8:54:25 PM , 415 ,6/6/2016 8:56:25 PM , 1327 ,6/6/2016 9:00:25 PM , 1174 ,6/6/2016 9:02:25 PM , 673 ,6/6/2016 9:04:25 PM , 1495 ,6/6/2016 9:06:25 PM , 1523 ,
 24 ,6/6/2016 9:10:25 PM , 2164 ,6/6/2016 9:12:25 PM , 759 ,6/6/2016 9:14:25 PM , 431 ,6/6/2016 9:16:25 PM , 929 ,6/6/2016 9:20:25 PM , 824 ,6/6/2016 9:22:25 PM , 1142 ,6/6/2016 9:24:25 PM , 1567 ,6/6/2016 9:26:25 PM , 1456 ,
 25 ,6/6/2016 9:30:25 PM , 2137 ,6/6/2016 9:32:25 PM , 296 ,6/6/2016 9:34:25 PM , 962 ,6/6/2016 9:36:25 PM , 1297 ,6/6/2016 9:40:25 PM , 1414 ,6/6/2016 9:42:25 PM , 741 ,6/6/2016 9:44:25 PM , 1475 ,6/6/2016 9:46:25 PM , 1151 ,
 26 ,6/6/2016 9:50:25 PM , 1336 ,6/6/2016 9:52:25 PM , 327 ,6/6/2016 9:54:25 PM , 607 ,6/6/2016 9:56:25 PM , 917 ,6/6/2016 10:00:25 PM , 659 ,6/6/2016 10:02:25 PM , 730 ,6/6/2016 10:04:25 PM , 1445 ,6/6/2016 10:06:25 PM , 1228 ,
 27 ,6/6/2016 10:10:25 PM , 2249 ,6/6/2016 10:12:25 PM , 993 ,6/6/2016 10:14:25 PM , 739 ,6/6/2016 10:16:25 PM , 1614 ,6/6/2016 10:20:25 PM , 1883 ,6/6/2016 10:22:25 PM , 599 ,6/6/2016 10:24:25 PM , 1083 ,6/6/2016 10:26:25 PM , 1198 ,
