display_app	name_app	name_tse	name_classic	type_py	type_R	aggregate	vis_unit
Subject	subject	Animal No.	CHAN	string	character	None	None
Interval	interval	NA	INTERVAL	int	numeric	None	None
Date-Time	date_time	NA	DATE/TIME	string	character	None	None
NA	NA	Date	NA	string	character	None	None
NA	NA	Time	NA	string	character	None	None
Light	light	LightC	ROOM LIGHT	int	numeric	None	None
VO2	vo2	VO2(1)	VO2	float	double	mean	[ml/h/kg]
VCO2	vco2	VCO2(1)	VCO2	float	double	mean	[ml/h/kg]
RER	rer	RER	RER	float	double	mean	[]
Heat	heat	H(1)	HEAT	float	double	mean	[kcal/h/kg]
XY Total Movement	xyt	XT+YT	NA	int	numeric	sum	[counts]
X Total Movement	xt	XT	XTOT	int	numeric	sum	[counts]
X Ambulatory Movement	xa	XA	XAMB	int	numeric	sum	[counts]
X F Movement	xf	XF	NA	int	numeric	sum	[counts]
Y Total Movement	yt	YT	YTOT	int	numeric	sum	[counts]
Y Ambulatory Movement	ya	YA	YAMB	int	numeric	sum	[counts]
Y F Movement	yf	YF	NA	int	numeric	sum	[counts]
Z Movement	z	Z	ZTOT	int	numeric	sum	[counts]
Drink	drink	Drink	DRINK1	float	double	mean	[ml]
Feed	feed	Feed	FEED1	float	double	mean	[g]
