Oxymax PARAMETER File 

CSV Generation Date,6/13/2016 9:09:46 AM 
Experiment Started,6/6/2016 1:26:16 PM 
Data Filename,C:\Users\Clams-hwh\Documents\Users\SFO\Ruas\Vicente\2016-06-06\2016-06-06.CDTA

Group/Cage,0101
Subject ID,G26
Subject Mass,29.61 G

Group/Cage,0102
Subject ID,G27
Subject Mass,29.09 G

Group/Cage,0103
Subject ID,G28
Subject Mass,29.91 G

Group/Cage,0104
Subject ID,G29
Subject Mass,30.32 G

Group/Cage,0105
Subject ID,G36
Subject Mass,28.2 G

Group/Cage,0106
Subject ID,G37
Subject Mass,28.09 G

Group/Cage,0107
Subject ID,G38
Subject Mass,26.79 G

Group/Cage,0108
Subject ID,G40
Subject Mass,32.35 G

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=4
Heat Calculation Method,STD

Paramter,HEAT (kcal/hr)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,6/6/2016 1:30:25 PM , 0.3995265 ,6/6/2016 1:32:25 PM , 0.6640913 ,6/6/2016 1:34:25 PM , 0.4031292 ,6/6/2016 1:36:25 PM , 0.5890678 ,6/6/2016 1:40:25 PM , 0.3881923 ,6/6/2016 1:42:25 PM , 0.3520909 ,6/6/2016 1:44:25 PM , 0.4183932 ,6/6/2016 1:46:25 PM , 0.4038709 ,
 2 ,6/6/2016 1:50:25 PM , 0.3677262 ,6/6/2016 1:52:25 PM , 0.5473078 ,6/6/2016 1:54:25 PM , 0.6125614 ,6/6/2016 1:56:25 PM , 0.5667753 ,6/6/2016 2:00:25 PM , 0.511512 ,6/6/2016 2:02:25 PM , 0.3572651 ,6/6/2016 2:04:25 PM , 0.4094305 ,6/6/2016 2:06:25 PM , 0.4213482 ,
 3 ,6/6/2016 2:10:25 PM , 0.4987741 ,6/6/2016 2:12:25 PM , 0.6331952 ,6/6/2016 2:14:25 PM , 0.5018283 ,6/6/2016 2:16:25 PM , 0.5064728 ,6/6/2016 2:20:25 PM , 0.4526464 ,6/6/2016 2:22:25 PM , 0.5512823 ,6/6/2016 2:24:25 PM , 0.4145159 ,6/6/2016 2:26:25 PM , 0.3579024 ,
 4 ,6/6/2016 2:30:25 PM , 0.3869039 ,6/6/2016 2:32:25 PM , 0.5090939 ,6/6/2016 2:34:25 PM , 0.3988344 ,6/6/2016 2:36:25 PM , 0.5175889 ,6/6/2016 2:40:25 PM , 0.5216625 ,6/6/2016 2:42:25 PM , 0.4127584 ,6/6/2016 2:44:25 PM , 0.4349391 ,6/6/2016 2:46:25 PM , 0.373017 ,
 5 ,6/6/2016 2:50:25 PM , 0.6017112 ,6/6/2016 2:52:25 PM , 0.6593993 ,6/6/2016 2:54:25 PM , 0.515119 ,6/6/2016 2:56:25 PM , 0.5618744 ,6/6/2016 3:00:25 PM , 0.4346078 ,6/6/2016 3:02:25 PM , 0.4151858 ,6/6/2016 3:04:25 PM , 0.3757252 ,6/6/2016 3:06:25 PM , 0.3616104 ,
 6 ,6/6/2016 3:10:25 PM , 0.5587722 ,6/6/2016 3:12:25 PM , 0.6696627 ,6/6/2016 3:14:25 PM , 0.4158801 ,6/6/2016 3:16:25 PM , 0.5088896 ,6/6/2016 3:20:25 PM , 0.3936773 ,6/6/2016 3:22:25 PM , 0.3735132 ,6/6/2016 3:24:25 PM , 0.434736 ,6/6/2016 3:26:25 PM , 0.4073687 ,
 7 ,6/6/2016 3:30:25 PM , 0.5510354 ,6/6/2016 3:32:25 PM , 0.6576667 ,6/6/2016 3:34:25 PM , 0.4093578 ,6/6/2016 3:36:25 PM , 0.4968704 ,6/6/2016 3:40:25 PM , 0.475745 ,6/6/2016 3:42:25 PM , 0.3662752 ,6/6/2016 3:44:25 PM , 0.3824233 ,6/6/2016 3:46:25 PM , 0.4054445 ,
 8 ,6/6/2016 3:50:25 PM , 0.4497424 ,6/6/2016 3:52:25 PM , 0.4833748 ,6/6/2016 3:54:25 PM , 0.4907987 ,6/6/2016 3:56:25 PM , 0.4904616 ,6/6/2016 4:00:25 PM , 0.4253222 ,6/6/2016 4:02:25 PM , 0.42089 ,6/6/2016 4:04:25 PM , 0.4251726 ,6/6/2016 4:06:25 PM , 0.516733 ,
 9 ,6/6/2016 4:10:25 PM , 0.5373663 ,6/6/2016 4:12:25 PM , 0.5056371 ,6/6/2016 4:14:25 PM , 0.3998221 ,6/6/2016 4:16:25 PM , 0.5259137 ,6/6/2016 4:20:25 PM , 0.5013091 ,6/6/2016 4:22:25 PM , 0.4901345 ,6/6/2016 4:24:25 PM , 0.3845758 ,6/6/2016 4:26:25 PM , 0.428344 ,
 10 ,6/6/2016 4:30:25 PM , 0.491085 ,6/6/2016 4:32:25 PM , 0.5114236 ,6/6/2016 4:34:25 PM , 0.4193428 ,6/6/2016 4:36:25 PM , 0.5010042 ,6/6/2016 4:40:25 PM , 0.48376 ,6/6/2016 4:42:25 PM , 0.3859218 ,6/6/2016 4:44:25 PM , 0.4279532 ,6/6/2016 4:46:25 PM , 0.3670524 ,
 11 ,6/6/2016 4:50:25 PM , 0.42356 ,6/6/2016 4:52:25 PM , 0.6912384 ,6/6/2016 4:54:25 PM , 0.387941 ,6/6/2016 4:56:25 PM , 0.4749736 ,6/6/2016 5:00:25 PM , 0.4324635 ,6/6/2016 5:02:25 PM , 0.4369991 ,6/6/2016 5:04:25 PM , 0.4994532 ,6/6/2016 5:06:25 PM , 0.4324708 ,
 12 ,6/6/2016 5:10:25 PM , 0.3823572 ,6/6/2016 5:12:25 PM , 0.5359783 ,6/6/2016 5:14:25 PM , 0.5084118 ,6/6/2016 5:16:25 PM , 0.3805722 ,6/6/2016 5:20:25 PM , 0.47578 ,6/6/2016 5:22:25 PM , 0.4125082 ,6/6/2016 5:24:25 PM , 0.361965 ,6/6/2016 5:26:25 PM , 0.4559503 ,
 13 ,6/6/2016 5:30:25 PM , 0.4723284 ,6/6/2016 5:32:25 PM , 0.5208395 ,6/6/2016 5:34:25 PM , 0.4229856 ,6/6/2016 5:36:25 PM , 0.4866024 ,6/6/2016 5:40:25 PM , 0.4225776 ,6/6/2016 5:42:25 PM , 0.3861 ,6/6/2016 5:44:25 PM , 0.3963639 ,6/6/2016 5:46:25 PM , 0.4223158 ,
 14 ,6/6/2016 5:50:25 PM , 0.4134984 ,6/6/2016 5:52:25 PM , 0.5003826 ,6/6/2016 5:54:25 PM , 0.4705662 ,6/6/2016 5:56:25 PM , 0.4943161 ,6/6/2016 6:00:25 PM , 0.5565438 ,6/6/2016 6:02:25 PM , 0.4181237 ,6/6/2016 6:04:25 PM , 0.5162711 ,6/6/2016 6:06:25 PM , 0.6321911 ,
 15 ,6/6/2016 6:10:25 PM , 0.6481183 ,6/6/2016 6:12:25 PM , 0.7299203 ,6/6/2016 6:14:25 PM , 0.4205685 ,6/6/2016 6:16:25 PM , 0.6467059 ,6/6/2016 6:20:25 PM , 0.5897208 ,6/6/2016 6:22:25 PM , 0.6010254 ,6/6/2016 6:24:25 PM , 0.4609211 ,6/6/2016 6:26:25 PM , 0.6369706 ,
 16 ,6/6/2016 6:30:25 PM , 0.5715097 ,6/6/2016 6:32:25 PM , 0.6545888 ,6/6/2016 6:34:25 PM , 0.6275704 ,6/6/2016 6:36:25 PM , 0.5971649 ,6/6/2016 6:40:25 PM , 0.6051353 ,6/6/2016 6:42:25 PM , 0.6007009 ,6/6/2016 6:44:25 PM , 0.5498167 ,6/6/2016 6:46:25 PM , 0.6457307 ,
 17 ,6/6/2016 6:50:25 PM , 0.5799485 ,6/6/2016 6:52:25 PM , 0.7797493 ,6/6/2016 6:54:25 PM , 0.5627132 ,6/6/2016 6:56:25 PM , 0.6241227 ,6/6/2016 7:00:25 PM , 0.6060625 ,6/6/2016 7:02:25 PM , 0.4942772 ,6/6/2016 7:04:25 PM , 0.5437971 ,6/6/2016 7:06:25 PM , 0.6285858 ,
 18 ,6/6/2016 7:10:25 PM , 0.5656543 ,6/6/2016 7:12:25 PM , 0.7645682 ,6/6/2016 7:14:25 PM , 0.4837101 ,6/6/2016 7:16:25 PM , 0.5989725 ,6/6/2016 7:20:25 PM , 0.564131 ,6/6/2016 7:22:25 PM , 0.5956504 ,6/6/2016 7:24:25 PM , 0.5421827 ,6/6/2016 7:26:25 PM , 0.6161593 ,
 19 ,6/6/2016 7:30:25 PM , 0.5883784 ,6/6/2016 7:32:25 PM , 0.7289441 ,6/6/2016 7:34:25 PM , 0.4654776 ,6/6/2016 7:36:25 PM , 0.60533 ,6/6/2016 7:40:25 PM , 0.5074546 ,6/6/2016 7:42:25 PM , 0.4974196 ,6/6/2016 7:44:25 PM , 0.5443078 ,6/6/2016 7:46:25 PM , 0.6457467 ,
 20 ,6/6/2016 7:50:25 PM , 0.5985297 ,6/6/2016 7:52:25 PM , 0.7340897 ,6/6/2016 7:54:25 PM , 0.5944096 ,6/6/2016 7:56:25 PM , 0.6263297 ,6/6/2016 8:00:25 PM , 0.6277754 ,6/6/2016 8:02:25 PM , 0.4949048 ,6/6/2016 8:04:25 PM , 0.5497694 ,6/6/2016 8:06:25 PM , 0.6520956 ,
 21 ,6/6/2016 8:10:25 PM , 0.5590164 ,6/6/2016 8:12:25 PM , 0.7410943 ,6/6/2016 8:14:25 PM , 0.4655289 ,6/6/2016 8:16:25 PM , 0.6215627 ,6/6/2016 8:20:25 PM , 0.6209559 ,6/6/2016 8:22:25 PM , 0.5400187 ,6/6/2016 8:24:25 PM , 0.5758721 ,6/6/2016 8:26:25 PM , 0.6270095 ,
 22 ,6/6/2016 8:30:25 PM , 0.5935518 ,6/6/2016 8:32:25 PM , 0.7519553 ,6/6/2016 8:34:25 PM , 0.4369657 ,6/6/2016 8:36:25 PM , 0.5622534 ,6/6/2016 8:40:25 PM , 0.6100922 ,6/6/2016 8:42:25 PM , 0.576703 ,6/6/2016 8:44:25 PM , 0.5629975 ,6/6/2016 8:46:25 PM , 0.614671 ,
 23 ,6/6/2016 8:50:25 PM , 0.5893979 ,6/6/2016 8:52:25 PM , 0.6687297 ,6/6/2016 8:54:25 PM , 0.466149 ,6/6/2016 8:56:25 PM , 0.5530364 ,6/6/2016 9:00:25 PM , 0.5860727 ,6/6/2016 9:02:25 PM , 0.5186761 ,6/6/2016 9:04:25 PM , 0.5876713 ,6/6/2016 9:06:25 PM , 0.6521941 ,
