Oxymax PARAMETER File 

CSV Generation Date,6/13/2016 9:09:45 AM 
Experiment Started,6/6/2016 1:26:16 PM 
Data Filename,C:\Users\Clams-hwh\Documents\Users\SFO\Ruas\Vicente\2016-06-06\2016-06-06.CDTA

Group/Cage,0101
Subject ID,G26
Subject Mass,29.61 G

Group/Cage,0102
Subject ID,G27
Subject Mass,29.09 G

Group/Cage,0103
Subject ID,G28
Subject Mass,29.91 G

Group/Cage,0104
Subject ID,G29
Subject Mass,30.32 G

Group/Cage,0105
Subject ID,G36
Subject Mass,28.2 G

Group/Cage,0106
Subject ID,G37
Subject Mass,28.09 G

Group/Cage,0107
Subject ID,G38
Subject Mass,26.79 G

Group/Cage,0108
Subject ID,G40
Subject Mass,32.35 G

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=4
Heat Calculation Method,STD

Paramter,RER


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,6/6/2016 1:30:25 PM , 0.9105392 ,6/6/2016 1:32:25 PM , 0.9073282 ,6/6/2016 1:34:25 PM , 0.8102909 ,6/6/2016 1:36:25 PM , 0.8388478 ,6/6/2016 1:40:25 PM , 0.8182376 ,6/6/2016 1:42:25 PM , 0.7947128 ,6/6/2016 1:44:25 PM , 0.8229852 ,6/6/2016 1:46:25 PM , 0.7595452 ,
 2 ,6/6/2016 1:50:25 PM , 0.9040329 ,6/6/2016 1:52:25 PM , 0.8646014 ,6/6/2016 1:54:25 PM , 0.8235643 ,6/6/2016 1:56:25 PM , 0.8788049 ,6/6/2016 2:00:25 PM , 0.8584952 ,6/6/2016 2:02:25 PM , 0.7778815 ,6/6/2016 2:04:25 PM , 0.8943722 ,6/6/2016 2:06:25 PM , 0.7578802 ,
 3 ,6/6/2016 2:10:25 PM , 0.9416777 ,6/6/2016 2:12:25 PM , 0.9405206 ,6/6/2016 2:14:25 PM , 0.86671 ,6/6/2016 2:16:25 PM , 0.8303758 ,6/6/2016 2:20:25 PM , 0.8561155 ,6/6/2016 2:22:25 PM , 0.8299232 ,6/6/2016 2:24:25 PM , 0.8875971 ,6/6/2016 2:26:25 PM , 0.7464708 ,
 4 ,6/6/2016 2:30:25 PM , 0.8338403 ,6/6/2016 2:32:25 PM , 0.9420956 ,6/6/2016 2:34:25 PM , 0.8158624 ,6/6/2016 2:36:25 PM , 0.8445237 ,6/6/2016 2:40:25 PM , 0.9124455 ,6/6/2016 2:42:25 PM , 0.8750634 ,6/6/2016 2:44:25 PM , 0.8682408 ,6/6/2016 2:46:25 PM , 0.7358739 ,
 5 ,6/6/2016 2:50:25 PM , 0.8658919 ,6/6/2016 2:52:25 PM , 0.8893343 ,6/6/2016 2:54:25 PM , 0.8132476 ,6/6/2016 2:56:25 PM , 0.8464618 ,6/6/2016 3:00:25 PM , 0.835142 ,6/6/2016 3:02:25 PM , 0.8726341 ,6/6/2016 3:04:25 PM , 0.9259017 ,6/6/2016 3:06:25 PM , 0.7345652 ,
 6 ,6/6/2016 3:10:25 PM , 0.8628162 ,6/6/2016 3:12:25 PM , 0.9805499 ,6/6/2016 3:14:25 PM , 0.8135728 ,6/6/2016 3:16:25 PM , 0.8750975 ,6/6/2016 3:20:25 PM , 0.8321131 ,6/6/2016 3:22:25 PM , 0.8933342 ,6/6/2016 3:24:25 PM , 0.8863298 ,6/6/2016 3:26:25 PM , 0.7580971 ,
 7 ,6/6/2016 3:30:25 PM , 0.8957035 ,6/6/2016 3:32:25 PM , 0.9514361 ,6/6/2016 3:34:25 PM , 0.8060145 ,6/6/2016 3:36:25 PM , 0.8305371 ,6/6/2016 3:40:25 PM , 0.8572692 ,6/6/2016 3:42:25 PM , 0.8730528 ,6/6/2016 3:44:25 PM , 0.8463145 ,6/6/2016 3:46:25 PM , 0.7599108 ,
 8 ,6/6/2016 3:50:25 PM , 0.8840063 ,6/6/2016 3:52:25 PM , 0.9264387 ,6/6/2016 3:54:25 PM , 0.8122609 ,6/6/2016 3:56:25 PM , 0.8218151 ,6/6/2016 4:00:25 PM , 0.7987511 ,6/6/2016 4:02:25 PM , 0.9097413 ,6/6/2016 4:04:25 PM , 0.8314856 ,6/6/2016 4:06:25 PM , 0.772593 ,
 9 ,6/6/2016 4:10:25 PM , 0.8367406 ,6/6/2016 4:12:25 PM , 0.8881293 ,6/6/2016 4:14:25 PM , 0.8415242 ,6/6/2016 4:16:25 PM , 0.8496667 ,6/6/2016 4:20:25 PM , 0.8369389 ,6/6/2016 4:22:25 PM , 0.9342509 ,6/6/2016 4:24:25 PM , 0.891897 ,6/6/2016 4:26:25 PM , 0.7472268 ,
 10 ,6/6/2016 4:30:25 PM , 0.8820551 ,6/6/2016 4:32:25 PM , 0.8590898 ,6/6/2016 4:34:25 PM , 0.816375 ,6/6/2016 4:36:25 PM , 0.8211722 ,6/6/2016 4:40:25 PM , 0.8459052 ,6/6/2016 4:42:25 PM , 0.9285997 ,6/6/2016 4:44:25 PM , 0.8848706 ,6/6/2016 4:46:25 PM , 0.7335191 ,
 11 ,6/6/2016 4:50:25 PM , 0.8087776 ,6/6/2016 4:52:25 PM , 0.8755279 ,6/6/2016 4:54:25 PM , 0.7917464 ,6/6/2016 4:56:25 PM , 0.8643007 ,6/6/2016 5:00:25 PM , 0.7990501 ,6/6/2016 5:02:25 PM , 0.872645 ,6/6/2016 5:04:25 PM , 0.9525322 ,6/6/2016 5:06:25 PM , 0.7475344 ,
 12 ,6/6/2016 5:10:25 PM , 0.7805792 ,6/6/2016 5:12:25 PM , 0.9296007 ,6/6/2016 5:14:25 PM , 0.910198 ,6/6/2016 5:16:25 PM , 0.8611554 ,6/6/2016 5:20:25 PM , 0.8382897 ,6/6/2016 5:22:25 PM , 0.9333497 ,6/6/2016 5:24:25 PM , 0.841137 ,6/6/2016 5:26:25 PM , 0.7417932 ,
 13 ,6/6/2016 5:30:25 PM , 0.8604039 ,6/6/2016 5:32:25 PM , 0.873308 ,6/6/2016 5:34:25 PM , 0.8438609 ,6/6/2016 5:36:25 PM , 0.8653985 ,6/6/2016 5:40:25 PM , 0.8617496 ,6/6/2016 5:42:25 PM , 0.9337584 ,6/6/2016 5:44:25 PM , 0.8233995 ,6/6/2016 5:46:25 PM , 0.7420311 ,
 14 ,6/6/2016 5:50:25 PM , 0.8050768 ,6/6/2016 5:52:25 PM , 0.8450422 ,6/6/2016 5:54:25 PM , 0.8155453 ,6/6/2016 5:56:25 PM , 0.905948 ,6/6/2016 6:00:25 PM , 0.9059271 ,6/6/2016 6:02:25 PM , 0.9222826 ,6/6/2016 6:04:25 PM , 0.8813336 ,6/6/2016 6:06:25 PM , 0.7920849 ,
 15 ,6/6/2016 6:10:25 PM , 0.8175106 ,6/6/2016 6:12:25 PM , 0.8507214 ,6/6/2016 6:14:25 PM , 0.8841545 ,6/6/2016 6:16:25 PM , 0.8890858 ,6/6/2016 6:20:25 PM , 0.8507416 ,6/6/2016 6:22:25 PM , 0.8399262 ,6/6/2016 6:24:25 PM , 0.8449141 ,6/6/2016 6:26:25 PM , 0.7703291 ,
 16 ,6/6/2016 6:30:25 PM , 0.8442612 ,6/6/2016 6:32:25 PM , 0.9803988 ,6/6/2016 6:34:25 PM , 0.8698019 ,6/6/2016 6:36:25 PM , 0.8255199 ,6/6/2016 6:40:25 PM , 0.8617808 ,6/6/2016 6:42:25 PM , 0.8710122 ,6/6/2016 6:44:25 PM , 0.880048 ,6/6/2016 6:46:25 PM , 0.7822818 ,
 17 ,6/6/2016 6:50:25 PM , 0.8415906 ,6/6/2016 6:52:25 PM , 0.9695028 ,6/6/2016 6:54:25 PM , 0.8505342 ,6/6/2016 6:56:25 PM , 0.8259515 ,6/6/2016 7:00:25 PM , 0.7973334 ,6/6/2016 7:02:25 PM , 0.8600228 ,6/6/2016 7:04:25 PM , 0.9374144 ,6/6/2016 7:06:25 PM , 0.810277 ,
 18 ,6/6/2016 7:10:25 PM , 0.9142082 ,6/6/2016 7:12:25 PM , 1.016508 ,6/6/2016 7:14:25 PM , 0.8282128 ,6/6/2016 7:16:25 PM , 0.8415257 ,6/6/2016 7:20:25 PM , 0.8048689 ,6/6/2016 7:22:25 PM , 0.83715 ,6/6/2016 7:24:25 PM , 0.9284462 ,6/6/2016 7:26:25 PM , 0.8605082 ,
 19 ,6/6/2016 7:30:25 PM , 0.873588 ,6/6/2016 7:32:25 PM , 1.031734 ,6/6/2016 7:34:25 PM , 0.7832951 ,6/6/2016 7:36:25 PM , 0.802669 ,6/6/2016 7:40:25 PM , 0.8287948 ,6/6/2016 7:42:25 PM , 0.8738301 ,6/6/2016 7:44:25 PM , 0.9208615 ,6/6/2016 7:46:25 PM , 0.9285321 ,
 20 ,6/6/2016 7:50:25 PM , 0.90086 ,6/6/2016 7:52:25 PM , 1.023632 ,6/6/2016 7:54:25 PM , 0.869446 ,6/6/2016 7:56:25 PM , 0.8568624 ,6/6/2016 8:00:25 PM , 0.8332499 ,6/6/2016 8:02:25 PM , 0.8753095 ,6/6/2016 8:04:25 PM , 0.9534175 ,6/6/2016 8:06:25 PM , 0.9548044 ,
 21 ,6/6/2016 8:10:25 PM , 0.860298 ,6/6/2016 8:12:25 PM , 0.988175 ,6/6/2016 8:14:25 PM , 0.9339619 ,6/6/2016 8:16:25 PM , 0.9151568 ,6/6/2016 8:20:25 PM , 0.8422493 ,6/6/2016 8:22:25 PM , 0.9239346 ,6/6/2016 8:24:25 PM , 0.9238389 ,6/6/2016 8:26:25 PM , 0.8929201 ,
 22 ,6/6/2016 8:30:25 PM , 0.8359683 ,6/6/2016 8:32:25 PM , 1.020112 ,6/6/2016 8:34:25 PM , 0.9224057 ,6/6/2016 8:36:25 PM , 0.8863154 ,6/6/2016 8:40:25 PM , 0.8496472 ,6/6/2016 8:42:25 PM , 0.9161325 ,6/6/2016 8:44:25 PM , 0.9456447 ,6/6/2016 8:46:25 PM , 0.9509626 ,
 23 ,6/6/2016 8:50:25 PM , 0.8310149 ,6/6/2016 8:52:25 PM , 1.011236 ,6/6/2016 8:54:25 PM , 0.9063597 ,6/6/2016 8:56:25 PM , 0.9752643 ,6/6/2016 9:00:25 PM , 0.8367117 ,6/6/2016 9:02:25 PM , 0.9781897 ,6/6/2016 9:04:25 PM , 0.9305697 ,6/6/2016 9:06:25 PM , 0.8804907 ,
