Oxymax PARAMETER File 

CSV Generation Date,6/13/2016 9:09:41 AM 
Experiment Started,6/6/2016 1:26:16 PM 
Data Filename,C:\Users\Clams-hwh\Documents\Users\SFO\Ruas\Vicente\2016-06-06\2016-06-06.CDTA

Group/Cage,0101
Subject ID,G26
Subject Mass,29.61 G

Group/Cage,0102
Subject ID,G27
Subject Mass,29.09 G

Group/Cage,0103
Subject ID,G28
Subject Mass,29.91 G

Group/Cage,0104
Subject ID,G29
Subject Mass,30.32 G

Group/Cage,0105
Subject ID,G36
Subject Mass,28.2 G

Group/Cage,0106
Subject ID,G37
Subject Mass,28.09 G

Group/Cage,0107
Subject ID,G38
Subject Mass,26.79 G

Group/Cage,0108
Subject ID,G40
Subject Mass,32.35 G

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=4
Heat Calculation Method,STD

Paramter,VO2 (ml/kg/hr)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,6/6/2016 1:30:25 PM , 2733.147 ,6/6/2016 1:32:25 PM , 4627.943 ,6/6/2016 1:34:25 PM , 2800.186 ,6/6/2016 1:36:25 PM , 4007.119 ,6/6/2016 1:40:25 PM , 2854.134 ,6/6/2016 1:42:25 PM , 2614.552 ,6/6/2016 1:44:25 PM , 3234.164 ,6/6/2016 1:46:25 PM , 2627.878 ,
 2 ,6/6/2016 1:50:25 PM , 2519.694 ,6/6/2016 1:52:25 PM , 3855.239 ,6/6/2016 1:54:25 PM , 4240.521 ,6/6/2016 1:56:25 PM , 3816.723 ,6/6/2016 2:00:25 PM , 3722.546 ,6/6/2016 2:02:25 PM , 2664.499 ,6/6/2016 2:04:25 PM , 3108.272 ,6/6/2016 2:06:25 PM , 2742.782 ,
 3 ,6/6/2016 2:10:25 PM , 3385.787 ,6/6/2016 2:12:25 PM , 4376.354 ,6/6/2016 2:14:25 PM , 3436.141 ,6/6/2016 2:16:25 PM , 3452.701 ,6/6/2016 2:20:25 PM , 3296.133 ,6/6/2016 2:22:25 PM , 4056.995 ,6/6/2016 2:24:25 PM , 3152.23 ,6/6/2016 2:26:25 PM , 2336.696 ,
 4 ,6/6/2016 2:30:25 PM , 2698.447 ,6/6/2016 2:32:25 PM , 3517.251 ,6/6/2016 2:34:25 PM , 2766.408 ,6/6/2016 2:36:25 PM , 3515.814 ,6/6/2016 2:40:25 PM , 3745.327 ,6/6/2016 2:42:25 PM , 3003.046 ,6/6/2016 2:44:25 PM , 3323.688 ,6/6/2016 2:46:25 PM , 2442.111 ,
 5 ,6/6/2016 2:50:25 PM , 4162.667 ,6/6/2016 2:52:25 PM , 4615.991 ,6/6/2016 2:54:25 PM , 3575.375 ,6/6/2016 2:56:25 PM , 3814.756 ,6/6/2016 3:00:25 PM , 3181.659 ,6/6/2016 3:02:25 PM , 3022.556 ,6/6/2016 3:04:25 PM , 2830.034 ,6/6/2016 3:06:25 PM , 2368.242 ,
 6 ,6/6/2016 3:10:25 PM , 3868.615 ,6/6/2016 3:12:25 PM , 4582.958 ,6/6/2016 3:14:25 PM , 2886.33 ,6/6/2016 3:16:25 PM , 3430.114 ,6/6/2016 3:20:25 PM , 2884.239 ,6/6/2016 3:22:25 PM , 2705.071 ,6/6/2016 3:24:25 PM , 3307.048 ,6/6/2016 3:26:25 PM , 2651.634 ,
 7 ,6/6/2016 3:30:25 PM , 3783.623 ,6/6/2016 3:32:25 PM , 4533.233 ,6/6/2016 3:34:25 PM , 2846.566 ,6/6/2016 3:36:25 PM , 3387.101 ,6/6/2016 3:40:25 PM , 3463.323 ,6/6/2016 3:42:25 PM , 2666.205 ,6/6/2016 3:44:25 PM , 2938.627 ,6/6/2016 3:46:25 PM , 2637.867 ,
 8 ,6/6/2016 3:50:25 PM , 3097.18 ,6/6/2016 3:52:25 PM , 3352.558 ,6/6/2016 3:54:25 PM , 3407.431 ,6/6/2016 3:56:25 PM , 3350.855 ,6/6/2016 4:00:25 PM , 3142.771 ,6/6/2016 4:02:25 PM , 3035.702 ,6/6/2016 4:04:25 PM , 3279.457 ,6/6/2016 4:06:25 PM , 3350.903 ,
 9 ,6/6/2016 4:10:25 PM , 3745.077 ,6/6/2016 4:12:25 PM , 3540.68 ,6/6/2016 4:14:25 PM , 2755.188 ,6/6/2016 4:16:25 PM , 3567.707 ,6/6/2016 4:20:25 PM , 3668.287 ,6/6/2016 4:22:25 PM , 3513.639 ,6/6/2016 4:24:25 PM , 2921.395 ,6/6/2016 4:26:25 PM , 2796.05 ,
 10 ,6/6/2016 4:30:25 PM , 3383.547 ,6/6/2016 4:32:25 PM , 3607.49 ,6/6/2016 4:34:25 PM , 2908.279 ,6/6/2016 4:36:25 PM , 3423.445 ,6/6/2016 4:40:25 PM , 3531.823 ,6/6/2016 4:42:25 PM , 2770.45 ,6/6/2016 4:44:25 PM , 3256.644 ,6/6/2016 4:46:25 PM , 2404.539 ,
 11 ,6/6/2016 4:50:25 PM , 2973.061 ,6/6/2016 4:52:25 PM , 4855.693 ,6/6/2016 4:54:25 PM , 2707.538 ,6/6/2016 4:56:25 PM , 3210.233 ,6/6/2016 5:00:25 PM , 3195.293 ,6/6/2016 5:02:25 PM , 3181.348 ,6/6/2016 5:04:25 PM , 3737.235 ,6/6/2016 5:06:25 PM , 2822.762 ,
 12 ,6/6/2016 5:10:25 PM , 2703.368 ,6/6/2016 5:12:25 PM , 3714.483 ,6/6/2016 5:14:25 PM , 3443.436 ,6/6/2016 5:16:25 PM , 2574.241 ,6/6/2016 5:20:25 PM , 3480.285 ,6/6/2016 5:22:25 PM , 2957.818 ,6/6/2016 5:24:25 PM , 2785.078 ,6/6/2016 5:26:25 PM , 2980.466 ,
 13 ,6/6/2016 5:30:25 PM , 3272.122 ,6/6/2016 5:32:25 PM , 3660.75 ,6/6/2016 5:34:25 PM , 2913.08 ,6/6/2016 5:36:25 PM , 3287.918 ,6/6/2016 5:40:25 PM , 3072.794 ,6/6/2016 5:42:25 PM , 2768.182 ,6/6/2016 5:44:25 PM , 3063.555 ,6/6/2016 5:46:25 PM , 2760.432 ,
 14 ,6/6/2016 5:50:25 PM , 2905.189 ,6/6/2016 5:52:25 PM , 3542.188 ,6/6/2016 5:54:25 PM , 3264.222 ,6/6/2016 5:56:25 PM , 3306.201 ,6/6/2016 6:00:25 PM , 4002.269 ,6/6/2016 6:02:25 PM , 3006.339 ,6/6/2016 6:04:25 PM , 3932.221 ,6/6/2016 6:06:25 PM , 4079.075 ,
 15 ,6/6/2016 6:10:25 PM , 4539.135 ,6/6/2016 6:12:25 PM , 5159.642 ,6/6/2016 6:14:25 PM , 2867.115 ,6/6/2016 6:16:25 PM , 4343.75 ,6/6/2016 6:20:25 PM , 4300.144 ,6/6/2016 6:22:25 PM , 4411.825 ,6/6/2016 6:24:25 PM , 3543.081 ,6/6/2016 6:26:25 PM , 4133.036 ,
 16 ,6/6/2016 6:30:25 PM , 3975.432 ,6/6/2016 6:32:25 PM , 4479.964 ,6/6/2016 6:34:25 PM , 4293.778 ,6/6/2016 6:36:25 PM , 4076.003 ,6/6/2016 6:40:25 PM , 4400.237 ,6/6/2016 6:42:25 PM , 4374.895 ,6/6/2016 6:44:25 PM , 4189.077 ,6/6/2016 6:46:25 PM , 4176.965 ,
 17 ,6/6/2016 6:50:25 PM , 4036.868 ,6/6/2016 6:52:25 PM , 5350.855 ,6/6/2016 6:54:25 PM , 3868.825 ,6/6/2016 6:56:25 PM , 4259.538 ,6/6/2016 7:00:25 PM , 4479.918 ,6/6/2016 7:02:25 PM , 3609.811 ,6/6/2016 7:04:25 PM , 4084.294 ,6/6/2016 7:06:25 PM , 4036.927 ,
 18 ,6/6/2016 7:10:25 PM , 3866.082 ,6/6/2016 7:12:25 PM , 5186.718 ,6/6/2016 7:14:25 PM , 3344.569 ,6/6/2016 7:16:25 PM , 4071.725 ,6/6/2016 7:20:25 PM , 4161.914 ,6/6/2016 7:22:25 PM , 4375.455 ,6/6/2016 7:24:25 PM , 4081.242 ,6/6/2016 7:26:25 PM , 3906.889 ,
 19 ,6/6/2016 7:30:25 PM , 4062.539 ,6/6/2016 7:32:25 PM , 4926.811 ,6/6/2016 7:34:25 PM , 3255.763 ,6/6/2016 7:36:25 PM , 4155.948 ,6/6/2016 7:40:25 PM , 3720.96 ,6/6/2016 7:42:25 PM , 3620.128 ,6/6/2016 7:44:25 PM , 4104.974 ,6/6/2016 7:46:25 PM , 4025.298 ,
 20 ,6/6/2016 7:50:25 PM , 4104.436 ,6/6/2016 7:52:25 PM , 4971.345 ,6/6/2016 7:54:25 PM , 4067.26 ,6/6/2016 7:56:25 PM , 4241.178 ,6/6/2016 8:00:25 PM , 4598.006 ,6/6/2016 8:02:25 PM , 3600.484 ,6/6/2016 8:04:25 PM , 4112.834 ,6/6/2016 8:06:25 PM , 4038.514 ,
 21 ,6/6/2016 8:10:25 PM , 3872.769 ,6/6/2016 8:12:25 PM , 5062.346 ,6/6/2016 8:14:25 PM , 3134.404 ,6/6/2016 8:16:25 PM , 4147.739 ,6/6/2016 8:20:25 PM , 4537.666 ,6/6/2016 8:22:25 PM , 3881.178 ,6/6/2016 8:24:25 PM , 4339.804 ,6/6/2016 8:26:25 PM , 3943.387 ,
 22 ,6/6/2016 8:30:25 PM , 4137.463 ,6/6/2016 8:32:25 PM , 5096.689 ,6/6/2016 8:34:25 PM , 2950.548 ,6/6/2016 8:36:25 PM , 3779.132 ,6/6/2016 8:40:25 PM , 4449.922 ,6/6/2016 8:42:25 PM , 4152.891 ,6/6/2016 8:44:25 PM , 4219.893 ,6/6/2016 8:46:25 PM , 3810.352 ,
 23 ,6/6/2016 8:50:25 PM , 4113.69 ,6/6/2016 8:52:25 PM , 4542.386 ,6/6/2016 8:54:25 PM , 3160.22 ,6/6/2016 8:56:25 PM , 3635.98 ,6/6/2016 9:00:25 PM , 4288.786 ,6/6/2016 9:02:25 PM , 3678.151 ,6/6/2016 9:04:25 PM , 4421.321 ,6/6/2016 9:06:25 PM , 4114.598 ,
 24 ,6/6/2016 9:10:25 PM , 4136.115 ,6/6/2016 9:12:25 PM , 4971.764 ,6/6/2016 9:14:25 PM , 3648.074 ,6/6/2016 9:16:25 PM , 4322.38 ,6/6/2016 9:20:25 PM , 3854.501 ,6/6/2016 9:22:25 PM , 4335.076 ,6/6/2016 9:24:25 PM , 4361.43 ,6/6/2016 9:26:25 PM , 4107.822 ,
