Oxymax PARAMETER File 

CSV Generation Date,6/13/2016 9:09:48 AM 
Experiment Started,6/6/2016 1:26:16 PM 
Data Filename,C:\Users\Clams-hwh\Documents\Users\SFO\Ruas\Vicente\2016-06-06\2016-06-06.CDTA

Group/Cage,0101
Subject ID,G26
Subject Mass,29.61 G

Group/Cage,0102
Subject ID,G27
Subject Mass,29.09 G

Group/Cage,0103
Subject ID,G28
Subject Mass,29.91 G

Group/Cage,0104
Subject ID,G29
Subject Mass,30.32 G

Group/Cage,0105
Subject ID,G36
Subject Mass,28.2 G

Group/Cage,0106
Subject ID,G37
Subject Mass,28.09 G

Group/Cage,0107
Subject ID,G38
Subject Mass,26.79 G

Group/Cage,0108
Subject ID,G40
Subject Mass,32.35 G

Reference Settle Time (s), 90 
Reference Measure Time (s), 30 
Cage Settle Time (s), 90 
Cage Measure Time (s), 30 
Reference Method,EVRYNN=4
Heat Calculation Method,STD

Paramter,XAMB (counts)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,6/6/2016 1:30:25 PM , 2 ,6/6/2016 1:32:25 PM , 74 ,6/6/2016 1:34:25 PM , 0 ,6/6/2016 1:36:25 PM , 1034 ,6/6/2016 1:40:25 PM , 14 ,6/6/2016 1:42:25 PM , 25 ,6/6/2016 1:44:25 PM , 33 ,6/6/2016 1:46:25 PM , 5 ,
 2 ,6/6/2016 1:50:25 PM , 84 ,6/6/2016 1:52:25 PM , 112 ,6/6/2016 1:54:25 PM , 176 ,6/6/2016 1:56:25 PM , 1710 ,6/6/2016 2:00:25 PM , 338 ,6/6/2016 2:02:25 PM , 7 ,6/6/2016 2:04:25 PM , 28 ,6/6/2016 2:06:25 PM , 54 ,
 3 ,6/6/2016 2:10:25 PM , 760 ,6/6/2016 2:12:25 PM , 747 ,6/6/2016 2:14:25 PM , 288 ,6/6/2016 2:16:25 PM , 855 ,6/6/2016 2:20:25 PM , 120 ,6/6/2016 2:22:25 PM , 274 ,6/6/2016 2:24:25 PM , 48 ,6/6/2016 2:26:25 PM , 27 ,
 4 ,6/6/2016 2:30:25 PM , 75 ,6/6/2016 2:32:25 PM , 12 ,6/6/2016 2:34:25 PM , 10 ,6/6/2016 2:36:25 PM , 376 ,6/6/2016 2:40:25 PM , 706 ,6/6/2016 2:42:25 PM , 117 ,6/6/2016 2:44:25 PM , 9 ,6/6/2016 2:46:25 PM , 0 ,
 5 ,6/6/2016 2:50:25 PM , 720 ,6/6/2016 2:52:25 PM , 170 ,6/6/2016 2:54:25 PM , 134 ,6/6/2016 2:56:25 PM , 1310 ,6/6/2016 3:00:25 PM , 121 ,6/6/2016 3:02:25 PM , 88 ,6/6/2016 3:04:25 PM , 12 ,6/6/2016 3:06:25 PM , 0 ,
 6 ,6/6/2016 3:10:25 PM , 2764 ,6/6/2016 3:12:25 PM , 669 ,6/6/2016 3:14:25 PM , 4 ,6/6/2016 3:16:25 PM , 312 ,6/6/2016 3:20:25 PM , 164 ,6/6/2016 3:22:25 PM , 25 ,6/6/2016 3:24:25 PM , 42 ,6/6/2016 3:26:25 PM , 2 ,
 7 ,6/6/2016 3:30:25 PM , 1544 ,6/6/2016 3:32:25 PM , 57 ,6/6/2016 3:34:25 PM , 13 ,6/6/2016 3:36:25 PM , 734 ,6/6/2016 3:40:25 PM , 308 ,6/6/2016 3:42:25 PM , 37 ,6/6/2016 3:44:25 PM , 7 ,6/6/2016 3:46:25 PM , 3 ,
 8 ,6/6/2016 3:50:25 PM , 637 ,6/6/2016 3:52:25 PM , 406 ,6/6/2016 3:54:25 PM , 118 ,6/6/2016 3:56:25 PM , 599 ,6/6/2016 4:00:25 PM , 98 ,6/6/2016 4:02:25 PM , 55 ,6/6/2016 4:04:25 PM , 26 ,6/6/2016 4:06:25 PM , 18 ,
 9 ,6/6/2016 4:10:25 PM , 275 ,6/6/2016 4:12:25 PM , 25 ,6/6/2016 4:14:25 PM , 19 ,6/6/2016 4:16:25 PM , 559 ,6/6/2016 4:20:25 PM , 279 ,6/6/2016 4:22:25 PM , 107 ,6/6/2016 4:24:25 PM , 24 ,6/6/2016 4:26:25 PM , 21 ,
 10 ,6/6/2016 4:30:25 PM , 1204 ,6/6/2016 4:32:25 PM , 4 ,6/6/2016 4:34:25 PM , 20 ,6/6/2016 4:36:25 PM , 940 ,6/6/2016 4:40:25 PM , 176 ,6/6/2016 4:42:25 PM , 30 ,6/6/2016 4:44:25 PM , 48 ,6/6/2016 4:46:25 PM , 53 ,
 11 ,6/6/2016 4:50:25 PM , 172 ,6/6/2016 4:52:25 PM , 297 ,6/6/2016 4:54:25 PM , 14 ,6/6/2016 4:56:25 PM , 694 ,6/6/2016 5:00:25 PM , 19 ,6/6/2016 5:02:25 PM , 18 ,6/6/2016 5:04:25 PM , 95 ,6/6/2016 5:06:25 PM , 9 ,
 12 ,6/6/2016 5:10:25 PM , 35 ,6/6/2016 5:12:25 PM , 318 ,6/6/2016 5:14:25 PM , 254 ,6/6/2016 5:16:25 PM , 541 ,6/6/2016 5:20:25 PM , 66 ,6/6/2016 5:22:25 PM , 58 ,6/6/2016 5:24:25 PM , 20 ,6/6/2016 5:26:25 PM , 42 ,
 13 ,6/6/2016 5:30:25 PM , 1195 ,6/6/2016 5:32:25 PM , 7 ,6/6/2016 5:34:25 PM , 35 ,6/6/2016 5:36:25 PM , 357 ,6/6/2016 5:40:25 PM , 78 ,6/6/2016 5:42:25 PM , 42 ,6/6/2016 5:44:25 PM , 23 ,6/6/2016 5:46:25 PM , 3 ,
 14 ,6/6/2016 5:50:25 PM , 129 ,6/6/2016 5:52:25 PM , 38 ,6/6/2016 5:54:25 PM , 32 ,6/6/2016 5:56:25 PM , 187 ,6/6/2016 6:00:25 PM , 305 ,6/6/2016 6:02:25 PM , 14 ,6/6/2016 6:04:25 PM , 642 ,6/6/2016 6:06:25 PM , 113 ,
 15 ,6/6/2016 6:10:25 PM , 1044 ,6/6/2016 6:12:25 PM , 300 ,6/6/2016 6:14:25 PM , 48 ,6/6/2016 6:16:25 PM , 947 ,6/6/2016 6:20:25 PM , 1130 ,6/6/2016 6:22:25 PM , 866 ,6/6/2016 6:24:25 PM , 102 ,6/6/2016 6:26:25 PM , 1078 ,
 16 ,6/6/2016 6:30:25 PM , 2302 ,6/6/2016 6:32:25 PM , 228 ,6/6/2016 6:34:25 PM , 261 ,6/6/2016 6:36:25 PM , 2272 ,6/6/2016 6:40:25 PM , 1194 ,6/6/2016 6:42:25 PM , 753 ,6/6/2016 6:44:25 PM , 1377 ,6/6/2016 6:46:25 PM , 1259 ,
 17 ,6/6/2016 6:50:25 PM , 1050 ,6/6/2016 6:52:25 PM , 568 ,6/6/2016 6:54:25 PM , 457 ,6/6/2016 6:56:25 PM , 1799 ,6/6/2016 7:00:25 PM , 1053 ,6/6/2016 7:02:25 PM , 987 ,6/6/2016 7:04:25 PM , 837 ,6/6/2016 7:06:25 PM , 1200 ,
 18 ,6/6/2016 7:10:25 PM , 1523 ,6/6/2016 7:12:25 PM , 948 ,6/6/2016 7:14:25 PM , 297 ,6/6/2016 7:16:25 PM , 1645 ,6/6/2016 7:20:25 PM , 1004 ,6/6/2016 7:22:25 PM , 1351 ,6/6/2016 7:24:25 PM , 1065 ,6/6/2016 7:26:25 PM , 819 ,
 19 ,6/6/2016 7:30:25 PM , 2385 ,6/6/2016 7:32:25 PM , 874 ,6/6/2016 7:34:25 PM , 207 ,6/6/2016 7:36:25 PM , 1604 ,6/6/2016 7:40:25 PM , 631 ,6/6/2016 7:42:25 PM , 914 ,6/6/2016 7:44:25 PM , 1268 ,6/6/2016 7:46:25 PM , 1318 ,
 20 ,6/6/2016 7:50:25 PM , 1779 ,6/6/2016 7:52:25 PM , 504 ,6/6/2016 7:54:25 PM , 476 ,6/6/2016 7:56:25 PM , 1808 ,6/6/2016 8:00:25 PM , 1203 ,6/6/2016 8:02:25 PM , 1018 ,6/6/2016 8:04:25 PM , 1808 ,6/6/2016 8:06:25 PM , 977 ,
 21 ,6/6/2016 8:10:25 PM , 2390 ,6/6/2016 8:12:25 PM , 409 ,6/6/2016 8:14:25 PM , 226 ,6/6/2016 8:16:25 PM , 1727 ,6/6/2016 8:20:25 PM , 766 ,6/6/2016 8:22:25 PM , 623 ,6/6/2016 8:24:25 PM , 1652 ,6/6/2016 8:26:25 PM , 1150 ,
 22 ,6/6/2016 8:30:25 PM , 2685 ,6/6/2016 8:32:25 PM , 714 ,6/6/2016 8:34:25 PM , 306 ,6/6/2016 8:36:25 PM , 711 ,6/6/2016 8:40:25 PM , 1060 ,6/6/2016 8:42:25 PM , 817 ,6/6/2016 8:44:25 PM , 998 ,6/6/2016 8:46:25 PM , 1117 ,
 23 ,6/6/2016 8:50:25 PM , 2249 ,6/6/2016 8:52:25 PM , 202 ,6/6/2016 8:54:25 PM , 218 ,6/6/2016 8:56:25 PM , 1420 ,6/6/2016 9:00:25 PM , 1122 ,6/6/2016 9:02:25 PM , 840 ,6/6/2016 9:04:25 PM , 1363 ,6/6/2016 9:06:25 PM , 1901 ,
 24 ,6/6/2016 9:10:25 PM , 2229 ,6/6/2016 9:12:25 PM , 578 ,6/6/2016 9:14:25 PM , 168 ,6/6/2016 9:16:25 PM , 781 ,6/6/2016 9:20:25 PM , 567 ,6/6/2016 9:22:25 PM , 1331 ,6/6/2016 9:24:25 PM , 1422 ,6/6/2016 9:26:25 PM , 1495 ,
 25 ,6/6/2016 9:30:25 PM , 1856 ,6/6/2016 9:32:25 PM , 138 ,6/6/2016 9:34:25 PM , 512 ,6/6/2016 9:36:25 PM , 1292 ,6/6/2016 9:40:25 PM , 1855 ,6/6/2016 9:42:25 PM , 566 ,6/6/2016 9:44:25 PM , 818 ,6/6/2016 9:46:25 PM , 1195 ,
 26 ,6/6/2016 9:50:25 PM , 1034 ,6/6/2016 9:52:25 PM , 764 ,6/6/2016 9:54:25 PM , 422 ,6/6/2016 9:56:25 PM , 1020 ,6/6/2016 10:00:25 PM , 409 ,6/6/2016 10:02:25 PM , 553 ,6/6/2016 10:04:25 PM , 1401 ,6/6/2016 10:06:25 PM , 1366 ,
 27 ,6/6/2016 10:10:25 PM , 2295 ,6/6/2016 10:12:25 PM , 1857 ,6/6/2016 10:14:25 PM , 434 ,6/6/2016 10:16:25 PM , 1941 ,6/6/2016 10:20:25 PM , 2205 ,6/6/2016 10:22:25 PM , 488 ,6/6/2016 10:24:25 PM , 660 ,6/6/2016 10:26:25 PM , 1247 ,
